code_geo,annee,taux_faible_diplome
59166,2016,59.4
59166,2022,59.68
59167,2016,50.34
59167,2022,47.18
59168,2016,65.7
59168,2022,65.92
59169,2016,46.39
59169,2022,49.7
59170,2016,54.06
59170,2022,53.4
59171,2016,53.57
59171,2022,50.0
59172,2016,57.82
59172,2022,54.13
59173,2016,58.17
59173,2022,56.84
59174,2016,54.25
59174,2022,52.59
59175,2016,50.42
59175,2022,49.57
59176,2016,50.85
59176,2022,54.5
59177,2016,51.6
59177,2022,51.65
59178,2016,58.66
59178,2022,58.41
59179,2016,49.59
59179,2022,51.01
59180,2016,57.19
59180,2022,57.86
59181,2016,53.92
59181,2022,55.59
59182,2016,45.88
59182,2022,49.22
59183,2016,57.92
59183,2022,56.61
59184,2016,53.29
59184,2022,52.34
59185,2016,54.02
59185,2022,50.32
59186,2016,62.32
59186,2022,47.37
59187,2016,55.46
59187,2022,52.09
59188,2016,38.46
59188,2022,37.0
59189,2016,58.73
59189,2022,58.97
59190,2016,52.52
59190,2022,51.89
59191,2016,55.6
59191,2022,50.95
59192,2016,51.44
59192,2022,49.31
59193,2016,59.29
59193,2022,62.75
59194,2016,56.93
59194,2022,56.0
59195,2016,62.5
59195,2022,63.25
59196,2016,66.32
59196,2022,65.2
59197,2016,61.98
59197,2022,64.94
59198,2016,54.64
59198,2022,56.6
59199,2016,51.91
59199,2022,52.25
59200,2016,52.56
59200,2022,53.39
59201,2016,66.16
59201,2022,63.7
59202,2016,56.59
59202,2022,55.07
59203,2016,54.92
59203,2022,50.52
59204,2016,52.2
59204,2022,53.41
59205,2016,52.97
59205,2022,52.12
59206,2016,55.05
59206,2022,54.55
59207,2016,51.73
59207,2022,50.45
59208,2016,76.58
59208,2022,79.12
59209,2016,50.09
59209,2022,51.77
59210,2016,53.95
59210,2022,53.14
59211,2016,53.62
59211,2022,57.99
59212,2016,56.03
59212,2022,54.66
59213,2016,56.1
59213,2022,54.4
59214,2016,58.46
59214,2022,55.43
59215,2016,61.14
59215,2022,61.46
59216,2016,55.02
59216,2022,58.17
59217,2016,60.24
59217,2022,65.27
59218,2016,53.9
59218,2022,51.12
59219,2016,59.93
59219,2022,59.48
59220,2016,63.23
59220,2022,63.05
59221,2016,58.9
59221,2022,59.46
59222,2016,58.25
59222,2022,59.14
59223,2016,54.66
59223,2022,52.22
59224,2016,58.68
59224,2022,56.7
59225,2016,51.73
59225,2022,51.51
59226,2016,59.56
59226,2022,58.53
59227,2016,51.07
59227,2022,49.45
59228,2016,53.36
59228,2022,55.24
59229,2016,58.29
59229,2022,56.12
59230,2016,51.07
59230,2022,50.94
59231,2016,49.68
59231,2022,50.42
59232,2016,51.48
59232,2022,56.81
59233,2016,51.67
59233,2022,49.24
59234,2016,51.7
59234,2022,51.04
59236,2016,59.69
59236,2022,55.57
59237,2016,55.03
59237,2022,60.98
59238,2016,51.43
59238,2022,56.18
59239,2016,53.87
59239,2022,55.36
59240,2016,59.38
59240,2022,57.89
59241,2016,49.25
59241,2022,48.11
59242,2016,48.02
59242,2022,49.75
59243,2016,55.13
59243,2022,51.68
59244,2016,54.36
59244,2022,50.98
59246,2016,50.75
59246,2022,48.87
59247,2016,67.91
59247,2022,71.11
59249,2016,56.04
59249,2022,53.99
59250,2016,65.2
59250,2022,65.8
59251,2016,63.22
59251,2022,61.84
59252,2016,59.84
59252,2022,58.37
59253,2016,56.15
59253,2022,53.25
59254,2016,52.75
59254,2022,48.99
59255,2016,48.98
59255,2022,49.28
59256,2016,61.98
59256,2022,62.71
59257,2016,58.76
59257,2022,58.87
59258,2016,63.6
59258,2022,64.38
59259,2016,59.28
59259,2022,61.99
59260,2016,53.14
59260,2022,51.21
59261,2016,55.67
59261,2022,50.28
59262,2016,59.28
59262,2022,58.41
59263,2016,58.9
59263,2022,54.65
59264,2016,48.18
59264,2022,51.33
59265,2016,57.84
59265,2022,59.51
59266,2016,61.12
59266,2022,62.92
59267,2016,47.79
59267,2022,52.04
59268,2016,53.46
59268,2022,52.52
59269,2016,51.55
59269,2022,49.04
59270,2016,55.33
59270,2022,52.61
59271,2016,59.93
59271,2022,53.7
59272,2016,50.99
59272,2022,50.96
59273,2016,56.63
59273,2022,54.13
59274,2016,52.03
59274,2022,49.08
59275,2016,70.36
59275,2022,73.5
59276,2016,51.1
59276,2022,51.26
59277,2016,51.63
59277,2022,50.58
59278,2016,57.94
59278,2022,59.28
59279,2016,57.0
59279,2022,56.32
59280,2016,49.21
59280,2022,46.09
59281,2016,58.2
59281,2022,60.3
59282,2016,54.55
59282,2022,51.31
59283,2016,54.69
59283,2022,57.7
59284,2016,58.01
59284,2022,58.56
59285,2016,53.13
59285,2022,50.7
59286,2016,57.67
59286,2022,55.66
59287,2016,56.69
59287,2022,52.03
59288,2016,54.24
59288,2022,49.88
59289,2016,54.38
59289,2022,53.64
59290,2016,50.52
59290,2022,55.23
59291,2016,52.73
59291,2022,48.96
59292,2016,50.76
59292,2022,51.22
59293,2016,51.95
59293,2022,50.16
59294,2016,49.74
59294,2022,48.42
59295,2016,57.58
59295,2022,57.77
59296,2016,59.51
59296,2022,58.73
59297,2016,55.07
59297,2022,52.22
59299,2016,64.27
59299,2022,65.76
59300,2016,56.52
59300,2022,49.36
59301,2016,53.4
59301,2022,52.11
59302,2016,51.0
59302,2022,51.14
59303,2016,58.44
59303,2022,62.77
59304,2016,60.84
59304,2022,60.7
59305,2016,53.28
59305,2022,54.26
59306,2016,49.72
59306,2022,49.41
59307,2016,48.3
59307,2022,48.84
59308,2016,54.14
59308,2022,54.97
59309,2016,60.88
59309,2022,53.29
59310,2016,59.12
59310,2022,56.88
59311,2016,56.28
59311,2022,48.66
59312,2016,60.36
59312,2022,57.63
59313,2016,51.1
59313,2022,49.91
59314,2016,52.99
59314,2022,51.37
59315,2016,59.02
59315,2022,55.09
59316,2016,61.37
59316,2022,62.56
59317,2016,55.39
59317,2022,55.15
59318,2016,51.24
59318,2022,53.7
59319,2016,52.79
59319,2022,52.11
59320,2016,57.72
59320,2022,58.54
59321,2016,59.01
59321,2022,50.92
59322,2016,55.3
59322,2022,52.82
59323,2016,59.95
59323,2022,64.26
59324,2016,52.63
59324,2022,48.67
59325,2016,55.71
59325,2022,59.16
59326,2016,47.81
59326,2022,48.38
59327,2016,55.72
59327,2022,52.98
59328,2016,69.89
59328,2022,71.47
59329,2016,55.82
59329,2022,54.82
59330,2016,60.95
59330,2022,62.92
59331,2016,56.77
59331,2022,53.75
59332,2016,61.54
59332,2022,58.19
59333,2016,51.36
59333,2022,50.2
59334,2016,52.64
59334,2022,56.76
59335,2016,60.43
59335,2022,58.69
59336,2016,49.81
59336,2022,50.74
59337,2016,53.87
59337,2022,53.49
59338,2016,52.83
59338,2022,54.26
59339,2016,56.27
59339,2022,56.97
59340,2016,57.58
59340,2022,58.67
59341,2016,56.65
59341,2022,52.53
59342,2016,53.18
59342,2022,52.6
59343,2016,60.19
59343,2022,62.25
59344,2016,46.24
59344,2022,45.18
59345,2016,52.28
59345,2022,47.49
59346,2016,63.36
59346,2022,67.66
59347,2016,54.92
59347,2022,50.68
59348,2016,51.84
59348,2022,53.28
59349,2016,51.52
59349,2022,50.26
59350,2016,71.93
59350,2022,73.11
59351,2016,48.68
59351,2022,52.03
59352,2016,60.52
59352,2022,62.33
59353,2016,47.81
59353,2022,50.31
59354,2016,53.37
59354,2022,51.86
59356,2016,70.34
59356,2022,70.99
59357,2016,54.0
59357,2022,53.39
59358,2016,50.23
59358,2022,50.38
59359,2016,52.96
59359,2022,51.93
59360,2016,59.13
59360,2022,60.49
59361,2016,53.46
59361,2022,48.94
59363,2016,56.65
59363,2022,56.16
59364,2016,68.4
59364,2022,71.05
59365,2016,52.7
59365,2022,54.63
59366,2016,53.02
59366,2022,52.5
59367,2016,56.39
59367,2022,56.76
59368,2016,72.87
59368,2022,73.65
59369,2016,56.5
59369,2022,56.01
59370,2016,56.96
59370,2022,53.51
