code_geo,annee,taux_faible_diplome
59001,2016,53.61
59002,2016,51.2
59003,2016,43.98
59004,2016,58.73
59005,2016,58.76
59006,2016,55.44
59007,2016,48.73
59008,2016,50.3
59009,2016,66.78
59010,2016,57.71
59011,2016,58.73
59012,2016,53.37
59013,2016,64.01
59014,2016,55.82
59015,2016,55.13
59016,2016,53.1
59017,2016,59.94
59018,2016,61.51
59019,2016,59.32
59021,2016,51.24
59022,2016,59.21
59023,2016,52.76
59024,2016,51.83
59025,2016,63.9
59026,2016,53.2
59027,2016,59.88
59028,2016,56.47
59029,2016,60.63
59031,2016,54.62
59032,2016,54.93
59033,2016,48.99
59034,2016,62.56
59035,2016,57.71
59036,2016,61.21
59037,2016,52.16
59038,2016,50.24
59039,2016,57.21
59041,2016,47.58
59042,2016,61.97
59043,2016,57.6
59044,2016,62.82
59045,2016,58.97
59046,2016,55.69
59047,2016,49.42
59048,2016,54.08
59049,2016,59.86
59050,2016,50.61
59051,2016,56.44
59052,2016,53.2
59053,2016,54.61
59054,2016,53.79
59055,2016,57.49
59056,2016,70.4
59057,2016,51.22
59058,2016,50.59
59059,2016,56.64
59060,2016,54.19
59061,2016,59.6
59062,2016,50.86
59063,2016,52.44
59064,2016,50.69
59065,2016,51.45
59066,2016,50.0
59067,2016,59.78
59068,2016,53.52
59069,2016,54.54
59071,2016,59.12
59072,2016,46.19
59073,2016,57.46
59074,2016,52.8
59075,2016,51.97
59076,2016,44.88
59077,2016,60.57
59078,2016,50.88
59079,2016,49.63
59080,2016,57.48
59081,2016,55.3
59082,2016,51.31
59083,2016,59.17
59084,2016,54.06
59085,2016,52.17
59086,2016,58.19
59087,2016,53.66
59088,2016,65.67
59089,2016,57.59
59090,2016,70.63
59091,2016,54.55
59092,2016,52.6
59093,2016,50.0
59094,2016,53.39
59096,2016,64.63
59097,2016,45.49
59098,2016,56.28
59099,2016,54.39
59100,2016,58.22
59101,2016,51.35
59102,2016,54.74
59103,2016,47.58
59104,2016,49.83
59105,2016,60.83
59106,2016,67.51
59107,2016,53.04
59108,2016,56.04
59109,2016,63.49
59110,2016,50.36
59111,2016,45.71
59112,2016,52.57
59113,2016,47.97
59114,2016,57.28
59115,2016,53.17
59116,2016,64.69
59117,2016,51.71
59118,2016,54.48
59119,2016,53.3
59120,2016,57.21
59121,2016,59.92
59122,2016,57.86
59123,2016,56.29
59124,2016,65.67
59125,2016,51.3
59126,2016,52.4
59127,2016,57.14
59128,2016,66.94
59129,2016,61.48
59130,2016,54.56
59131,2016,53.37
59132,2016,55.56
59133,2016,60.0
59134,2016,53.03
59135,2016,61.77
59136,2016,59.71
59137,2016,55.96
59138,2016,50.41
59139,2016,57.95
59140,2016,55.59
59141,2016,54.24
59142,2016,45.7
59143,2016,58.2
59144,2016,55.34
59145,2016,56.83
59146,2016,64.0
59147,2016,48.84
59148,2016,48.33
59149,2016,54.65
59150,2016,66.93
59151,2016,49.79
59152,2016,58.66
59153,2016,59.35
59155,2016,54.71
59156,2016,54.29
59157,2016,53.48
59158,2016,60.52
59159,2016,48.42
59160,2016,53.35
59161,2016,56.18
59162,2016,54.91
59163,2016,67.26
59164,2016,57.07
59165,2016,53.85
59166,2016,59.4
59167,2016,50.34
59168,2016,65.7
59169,2016,46.39
59170,2016,54.06
59171,2016,53.57
59172,2016,57.82
59173,2016,58.17
59174,2016,54.25
59175,2016,50.42
59176,2016,50.85
59177,2016,51.6
59178,2016,58.66
59179,2016,49.59
59180,2016,57.19
59181,2016,53.92
59182,2016,45.88
59183,2016,57.92
59184,2016,53.29
59185,2016,54.02
59186,2016,62.32
59187,2016,55.46
59188,2016,38.46
59189,2016,58.73
59190,2016,52.52
59191,2016,55.6
59192,2016,51.44
59193,2016,59.29
59194,2016,56.93
59195,2016,62.5
59196,2016,66.32
59197,2016,61.98
59198,2016,54.64
59199,2016,51.91
59200,2016,52.56
59201,2016,66.16
59202,2016,56.59
59203,2016,54.92
59204,2016,52.2
59205,2016,52.97
59206,2016,55.05
59207,2016,51.73
59208,2016,76.58
59209,2016,50.09
59210,2016,53.95
59211,2016,53.62
59212,2016,56.03
59213,2016,56.1
59214,2016,58.46
59215,2016,61.14
59216,2016,55.02
59217,2016,60.24
59218,2016,53.9
59219,2016,59.93
59220,2016,63.23
59221,2016,58.9
59222,2016,58.25
59223,2016,54.66
59224,2016,58.68
59225,2016,51.73
59226,2016,59.56
59227,2016,51.07
59228,2016,53.36
59229,2016,58.29
59230,2016,51.07
59231,2016,49.68
59232,2016,51.48
59233,2016,51.67
59234,2016,51.7
59236,2016,59.69
59237,2016,55.03
59238,2016,51.43
59239,2016,53.87
59240,2016,59.38
59241,2016,49.25
59242,2016,48.02
59243,2016,55.13
59244,2016,54.36
59246,2016,50.75
59247,2016,67.91
59249,2016,56.04
59250,2016,65.2
59251,2016,63.22
59252,2016,59.84
59253,2016,56.15
59254,2016,52.75
59255,2016,48.98
59256,2016,61.98
59257,2016,58.76
59258,2016,63.6
59259,2016,59.28
59260,2016,53.14
59261,2016,55.67
59262,2016,59.28
59263,2016,58.9
59264,2016,48.18
59265,2016,57.84
59266,2016,61.12
59267,2016,47.79
59268,2016,53.46
59269,2016,51.55
59270,2016,55.33
59271,2016,59.93
59272,2016,50.99
59273,2016,56.63
59274,2016,52.03
59275,2016,70.36
59276,2016,51.1
59277,2016,51.63
59278,2016,57.94
59279,2016,57.0
59280,2016,49.21
59281,2016,58.2
59282,2016,54.55
59283,2016,54.69
59284,2016,58.01
59285,2016,53.13
59286,2016,57.67
59287,2016,56.69
59288,2016,54.24
59289,2016,54.38
59290,2016,50.52
59291,2016,52.73
59292,2016,50.76
59293,2016,51.95
59294,2016,49.74
