code_geo,libelle_commune,revenu_median,annee
59198,Eppe-Sauvage,20918,2016
59199,Erchin,23305,2016
59200,Eringhem,19891,2016
59201,Erquinghem-le-Sec,26198,2016
59202,Erquinghem-Lys,20912,2016
59203,Erre,20138,2016
59204,Escarmain,20937,2016
59205,Escaudain,15365,2016
59206,Escaudoeuvres,18489,2016
59207,Escautpont,14909,2016
59208,Escobecques,34671,2016
59209,Esnes,19987,2016
59210,Esquelbecq,21184,2016
59211,Esquerchin,22593,2016
59212,Estaires,19663,2016
59213,Estourmel,23389,2016
59214,Estrées,23248,2016
59215,Estreux,24644,2016
59216,Eswars,23662,2016
59217,Eth,29755,2016
59218,Étroeungt,17586,2016
59219,Estrun,23087,2016
59220,Faches-Thumesnil,20461,2016
59221,Famars,22052,2016
59222,Faumont,24774,2016
59223,Le Favril,19875,2016
59224,Féchain,20397,2016
59225,Feignies,17430,2016
59226,Felleries,19302,2016
59227,Fenain,17683,2016
59228,Férin,22746,2016
59229,Féron,19129,2016
59230,Ferrière-la-Grande,17393,2016
59231,Ferrière-la-Petite,18263,2016
59232,La Flamengrie,22825,2016
59233,Flaumont-Waudrechies,19573,2016
59234,Flers-en-Escrebieux,17446,2016
59236,Flesquières,20094,2016
59237,Flêtre,22394,2016
59238,Flines-lès-Mortagne,22749,2016
59239,Flines-lez-Raches,22098,2016
59240,Floursies,23435,2016
59241,Floyon,18618,2016
59242,Fontaine-au-Bois,20773,2016
59243,Fontaine-au-Pire,19391,2016
59244,Fontaine-Notre-Dame,21193,2016
59246,Forest-en-Cambrésis,18901,2016
59247,Forest-sur-Marque,25273,2016
59249,Fourmies,15096,2016
59250,Fournes-en-Weppes,27005,2016
59251,Frasnoy,23435,2016
59252,Frelinghien,23025,2016
59253,Fresnes-sur-Escaut,15753,2016
59254,Fressain,22736,2016
59255,Fressies,19697,2016
59256,Fretin,23514,2016
59257,Fromelles,25086,2016
59258,Genech,25556,2016
59259,Ghissignies,24352,2016
59260,Ghyvelde,21847,2016
59261,Glageon,16606,2016
59262,Godewaersvelde,20963,2016
59263,Goeulzin,23819,2016
59264,Gognies-Chaussée,21740,2016
59265,Gommegnies,22256,2016
59266,Gondecourt,23886,2016
59267,Gonnelieu,19435,2016
59268,La Gorgue,19378,2016
59269,Gouzeaucourt,17810,2016
59270,Grand-Fayt,18953,2016
59271,Grande-Synthe,15109,2016
59272,Grand-Fort-Philippe,18291,2016
59273,Gravelines,19734,2016
59274,La Groise,18071,2016
59275,Gruson,34251,2016
59276,Guesnain,17233,2016
59277,Gussignies,21488,2016
59278,Hallennes-lez-Haubourdin,22283,2016
59279,Halluin,19599,2016
59280,Hamel,21865,2016
59281,Hantay,21489,2016
59282,Hardifort,21518,2016
59283,Hargnies,23036,2016
59284,Hasnon,21186,2016
59285,Haspres,19099,2016
59286,Haubourdin,19127,2016
59287,Haucourt-en-Cambrésis,20168,2016
59288,Haulchin,18330,2016
59289,Haussy,19108,2016
59290,Haut-Lieu,20296,2016
59291,Hautmont,14900,2016
59292,Haveluy,15561,2016
59293,Haverskerque,21221,2016
59294,Haynecourt,19964,2016
59295,Hazebrouck,19076,2016
59296,Hecq,20949,2016
59297,Hélesmes,20330,2016
59299,Hem,20554,2016
59300,Hem-Lenglet,19606,2016
59301,Hergnies,20371,2016
59302,Hérin,18133,2016
59303,Herlies,24467,2016
