code_geo,libelle_commune,revenu_median,annee
59199,Erchin,25400,2021
59200,Eringhem,22170,2021
59201,Erquinghem-le-Sec,30070,2021
59202,Erquinghem-Lys,23060,2021
59203,Erre,22540,2021
59204,Escarmain,23380,2021
59205,Escaudain,17370,2021
59206,Escaudœuvres,20630,2021
59207,Escautpont,16460,2021
59208,Escobecques,37210,2021
59209,Esnes,21020,2021
59210,Esquelbecq,23960,2021
59211,Esquerchin,23580,2021
59212,Estaires,21970,2021
59213,Estourmel,25670,2021
59214,Estrées,24500,2021
59215,Estreux,27850,2021
59216,Eswars,25770,2021
59217,Eth,33140,2021
59218,Étrœungt,21230,2021
59219,Estrun,24680,2021
59220,Faches-Thumesnil,22280,2021
59221,Famars,24250,2021
59222,Faumont,27700,2021
59223,Le Favril,21400,2021
59224,Féchain,21800,2021
59225,Feignies,19550,2021
59226,Felleries,21730,2021
59227,Fenain,20110,2021
59228,Férin,25080,2021
59229,Féron,22470,2021
59230,Ferrière-la-Grae,19240,2021
59231,Ferrière-la-Petite,20640,2021
59232,La Flamengrie,25620,2021
59233,Flaumont-Waudrechies,20600,2021
59234,Flers-en-Escrebieux,19610,2021
59236,Flesquières,22460,2021
59237,Flêtre,26440,2021
59238,Flines-lès-Mortagne,24600,2021
59239,Flines-lez-Raches,24460,2021
59240,Floursies,24000,2021
59241,Floyon,22090,2021
59242,Fontaine-au-Bois,22680,2021
59243,Fontaine-au-Pire,21520,2021
59244,Fontaine-Notre-Dame,22970,2021
59246,Forest-en-Cambrésis,21870,2021
59247,Forest-sur-Marque,28160,2021
59249,Fourmies,16810,2021
59250,Fournes-en-Weppes,29740,2021
59251,Frasnoy,26480,2021
59252,Frelinghien,25080,2021
59253,Fresnes-sur-Escaut,17650,2021
59254,Fressain,23720,2021
59255,Fressies,23190,2021
59256,Fretin,26580,2021
59257,Fromelles,29030,2021
59258,Genech,28530,2021
59259,Ghissignies,27020,2021
59260,Ghyvelde,24040,2021
59261,Glageon,18450,2021
59262,Godewaersvelde,23840,2021
59263,Gœulzin,26990,2021
59264,Gognies-Chaussée,23430,2021
59265,Gommegnies,25290,2021
59266,Goecourt,26300,2021
59267,Gonnelieu,22800,2021
59268,La Gorgue,21990,2021
59269,Gouzeaucourt,20820,2021
59270,Gra-Fayt,21490,2021
59271,Grae-Synthe,16650,2021
59272,Gra-Fort-Philippe,20070,2021
59273,Gravelines,21680,2021
59274,La Groise,20700,2021
59275,Gruson,35560,2021
59276,Guesnain,18710,2021
