code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59594,2022,0.0,1102.0,2,0.0
59595,2022,0.0,542.0,5,0.0
59596,2022,0.0,538.0,7,0.0
59597,2022,0.0,695.0,3,0.0
59598,2022,118.0,3964.0,7,29.77
59599,2022,6303.0,99160.0,15,63.56
59600,2022,0.0,950.0,3,0.0
59601,2022,56.0,2642.0,6,21.2
59602,2022,9.0,1390.0,3,6.47
59603,2022,252.0,6062.0,9,41.57
59604,2022,5.0,808.0,4,6.19
59605,2022,0.0,1524.0,4,0.0
59606,2022,3610.0,42979.0,15,83.99
59607,2022,0.0,479.0,7,0.0
59608,2022,0.0,1123.0,2,0.0
59609,2022,22.0,1615.0,6,13.62
59610,2022,0.0,1103.0,4,0.0
59611,2022,38.0,2678.0,5,14.19
59612,2022,0.0,524.0,4,0.0
59613,2022,29.0,1472.0,4,19.7
59614,2022,10.0,1364.0,3,7.33
59615,2022,17.0,2641.0,6,6.44
59616,2022,297.0,10455.0,10,28.41
59617,2022,0.0,637.0,9,0.0
59618,2022,0.0,923.0,3,0.0
59619,2022,0.0,1062.0,4,0.0
59620,2022,0.0,670.0,7,0.0
59622,2022,8.0,1148.0,6,6.97
59623,2022,0.0,682.0,3,0.0
59624,2022,52.0,2137.0,6,24.33
59625,2022,0.0,389.0,5,0.0
59626,2022,0.0,1230.0,2,0.0
59627,2022,0.0,1008.0,4,0.0
59628,2022,0.0,567.0,6,0.0
59629,2022,16.0,1311.0,5,12.2
59630,2022,23.0,2596.0,5,8.86
59631,2022,55.0,2091.0,7,26.3
59632,2022,154.0,5618.0,9,27.41
59633,2022,0.0,274.0,9,0.0
59634,2022,0.0,798.0,4,0.0
59635,2022,0.0,368.0,8,0.0
59636,2022,441.0,10984.0,10,40.15
59637,2022,5.0,1310.0,4,3.82
59638,2022,5.0,1332.0,5,3.75
59639,2022,0.0,1113.0,4,0.0
59640,2022,0.0,774.0,5,0.0
59641,2022,16.0,2035.0,4,7.86
59642,2022,0.0,599.0,6,0.0
59643,2022,0.0,233.0,6,0.0
59645,2022,0.0,596.0,5,0.0
59646,2022,1113.0,20674.0,12,53.84
59647,2022,39.0,2567.0,5,15.19
59648,2022,750.0,15756.0,13,47.6
59649,2022,0.0,240.0,10,0.0
