code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59001,2016,0.0,461.0,7,0.0
59002,2016,183.0,4440.0,9,41.22
59003,2016,0.0,374.0,7,0.0
59004,2016,0.0,1185.0,5,0.0
59005,2016,49.0,3462.0,6,14.15
59006,2016,0.0,603.0,8,0.0
59007,2016,0.0,904.0,3,0.0
59008,2016,436.0,10303.0,13,42.32
59009,2016,5333.0,62358.0,15,85.52
59010,2016,0.0,279.0,7,0.0
59011,2016,382.0,10490.0,12,36.42
59012,2016,73.0,3267.0,7,22.34
59013,2016,19.0,1432.0,4,13.27
59014,2016,793.0,13426.0,13,59.06
59015,2016,65.0,3130.0,6,20.77
59016,2016,15.0,2296.0,5,6.53
59017,2016,1612.0,25015.0,14,64.44
59018,2016,6.0,1641.0,3,3.66
59019,2016,0.0,1053.0,3,0.0
59021,2016,13.0,1837.0,4,7.08
59022,2016,22.0,2268.0,7,9.7
59023,2016,0.0,530.0,4,0.0
59024,2016,121.0,4405.0,10,27.47
59025,2016,0.0,1610.0,3,0.0
59026,2016,14.0,1184.0,3,11.82
59027,2016,21.0,1651.0,7,12.72
59028,2016,325.0,7285.0,12,44.61
59029,2016,25.0,1532.0,5,16.32
59031,2016,0.0,357.0,8,0.0
59032,2016,355.0,7316.0,11,48.52
59033,2016,347.0,8856.0,12,39.18
59034,2016,63.0,2704.0,10,23.3
59035,2016,48.0,2496.0,6,19.23
59036,2016,242.0,4654.0,10,52.0
59037,2016,124.0,3634.0,8,34.12
59038,2016,0.0,1470.0,4,0.0
59039,2016,0.0,844.0,4,0.0
59041,2016,44.0,2334.0,6,18.85
59042,2016,11.0,1690.0,6,6.51
59043,2016,527.0,14467.0,13,36.43
59044,2016,145.0,4750.0,9,30.53
59045,2016,0.0,165.0,9,0.0
59046,2016,0.0,741.0,5,0.0
59047,2016,0.0,341.0,8,0.0
59048,2016,0.0,507.0,9,0.0
59049,2016,0.0,420.0,5,0.0
59050,2016,0.0,353.0,6,0.0
59051,2016,289.0,6421.0,12,45.01
59052,2016,126.0,5230.0,11,24.09
59053,2016,125.0,3350.0,8,37.31
59054,2016,7.0,960.0,5,7.29
59055,2016,9.0,533.0,6,16.89
59056,2016,15.0,857.0,5,17.5
59057,2016,0.0,563.0,6,0.0
59058,2016,0.0,987.0,4,0.0
59059,2016,0.0,448.0,8,0.0
59060,2016,0.0,231.0,11,0.0
59061,2016,0.0,257.0,10,0.0
59062,2016,0.0,165.0,12,0.0
59063,2016,27.0,2079.0,5,12.99
59064,2016,42.0,1225.0,8,34.29
59065,2016,0.0,833.0,5,0.0
59066,2016,0.0,149.0,10,0.0
59067,2016,111.0,3729.0,8,29.77
59068,2016,57.0,3105.0,7,18.36
59069,2016,0.0,717.0,5,0.0
59071,2016,15.0,2213.0,5,6.78
59072,2016,0.0,254.0,10,0.0
59073,2016,0.0,551.0,6,0.0
59074,2016,24.0,2181.0,5,11.0
59075,2016,13.0,749.0,7,17.36
59076,2016,0.0,310.0,4,0.0
59077,2016,0.0,253.0,6,0.0
59078,2016,0.0,630.0,6,0.0
59079,2016,199.0,6660.0,11,29.88
59080,2016,44.0,2743.0,6,16.04
59081,2016,0.0,556.0,5,0.0
59082,2016,12.0,1817.0,5,6.6
59083,2016,0.0,243.0,8,0.0
59084,2016,13.0,2076.0,4,6.26
59085,2016,0.0,305.0,10,0.0
59086,2016,6.0,2186.0,5,2.74
59087,2016,0.0,747.0,6,0.0
59088,2016,36.0,1603.0,7,22.46
59089,2016,0.0,1441.0,3,0.0
59090,2016,310.0,10046.0,10,30.86
59091,2016,0.0,603.0,5,0.0
59092,2016,173.0,3998.0,12,43.27
59093,2016,0.0,340.0,6,0.0
59094,2016,161.0,7112.0,9,22.64
59096,2016,20.0,1676.0,4,11.93
59097,2016,0.0,386.0,9,0.0
59098,2016,133.0,4833.0,10,27.52
59099,2016,6.0,1734.0,5,3.46
59100,2016,0.0,327.0,7,0.0
59101,2016,0.0,405.0,6,0.0
59102,2016,0.0,414.0,8,0.0
59103,2016,0.0,523.0,6,0.0
59104,2016,76.0,3245.0,7,23.42
59105,2016,11.0,1540.0,6,7.14
59106,2016,0.0,691.0,3,0.0
59107,2016,200.0,4541.0,9,44.04
59108,2016,0.0,743.0,6,0.0
59109,2016,0.0,721.0,6,0.0
59110,2016,0.0,1356.0,5,0.0
59111,2016,0.0,385.0,10,0.0
59112,2016,624.0,11638.0,13,53.62
59113,2016,23.0,1325.0,4,17.36
59114,2016,19.0,1673.0,6,11.36
59115,2016,0.0,712.0,4,0.0
59116,2016,0.0,415.0,7,0.0
59117,2016,8.0,993.0,5,8.06
59118,2016,28.0,2488.0,5,11.25
59119,2016,0.0,580.0,9,0.0
59120,2016,16.0,1957.0,6,8.18
59121,2016,0.0,607.0,6,0.0
59122,2016,1705.0,32668.0,14,52.19
59123,2016,23.0,1646.0,7,13.97
59124,2016,39.0,2363.0,5,16.5
59125,2016,0.0,397.0,7,0.0
59126,2016,12.0,1549.0,4,7.75
59127,2016,0.0,156.0,9,0.0
59128,2016,122.0,2424.0,7,50.33
59129,2016,37.0,2233.0,7,16.57
59130,2016,0.0,1174.0,4,0.0
59131,2016,168.0,7888.0,9,21.3
59132,2016,16.0,1100.0,5,14.55
59133,2016,0.0,988.0,5,0.0
59134,2016,0.0,1262.0,3,0.0
59135,2016,35.0,2301.0,6,15.21
59136,2016,283.0,6983.0,12,40.53
59137,2016,5.0,834.0,7,6.0
59138,2016,0.0,673.0,9,0.0
59139,2016,807.0,14493.0,14,55.68
59140,2016,0.0,448.0,7,0.0
59141,2016,0.0,578.0,4,0.0
59142,2016,0.0,669.0,7,0.0
59143,2016,350.0,8432.0,13,41.51
59144,2016,0.0,884.0,6,0.0
59145,2016,0.0,769.0,6,0.0
59146,2016,50.0,2989.0,6,16.73
59147,2016,0.0,53.0,13,0.0
59148,2016,0.0,376.0,8,0.0
59149,2016,8.0,1105.0,5,7.24
59150,2016,0.0,525.0,7,0.0
59151,2016,20.0,1620.0,6,12.35
59152,2016,432.0,12369.0,13,34.93
59153,2016,515.0,9680.0,12,53.2
59155,2016,850.0,21204.0,13,40.09
59156,2016,33.0,2804.0,6,11.77
59157,2016,32.0,2289.0,5,13.98
59158,2016,45.0,3001.0,6,15.0
59159,2016,6.0,711.0,6,8.44
59160,2016,154.0,4551.0,10,33.84
59161,2016,0.0,740.0,3,0.0
59162,2016,0.0,669.0,6,0.0
59163,2016,1228.0,21271.0,14,57.73
59164,2016,0.0,262.0,10,0.0
59165,2016,204.0,6454.0,10,31.61
59166,2016,0.0,1159.0,4,0.0
59167,2016,0.0,198.0,8,0.0
59168,2016,134.0,5033.0,8,26.62
59169,2016,0.0,197.0,11,0.0
59170,2016,201.0,5307.0,10,37.87
59171,2016,0.0,40.0,13,0.0
59172,2016,1592.0,19714.0,14,80.75
59173,2016,53.0,1680.0,7,31.55
59174,2016,0.0,351.0,6,0.0
59175,2016,0.0,318.0,7,0.0
