code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59018,00018,Arnèke,2017,1167,161,1006,984,13.8,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,27.13,22.66,19.51,17.17,6.4,DROITE,DROITE,CENTRE,GAUCHE,DROITE,19.51,1.73,56.2,22.56,11.26,19539.0,61.51,3.66,6.0,1561,1578,DROITE,0,LE PEN
59019,00019,Artres,2017,741,118,623,611,15.92,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,30.44,22.91,16.53,16.2,6.38,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.91,2.29,53.03,21.77,14.05,22752.0,59.32,0.0,0.0,1064,1075,DROITE,0,LE PEN
59021,00021,Assevent,2017,1302,223,1079,1045,17.13,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,42.2,18.66,17.99,9.86,5.07,DROITE,CENTRE,GAUCHE,DROITE,DROITE,18.66,1.24,57.13,22.97,16.77,19471.0,51.24,7.08,13.0,1796,1811,DROITE,0,LE PEN
59022,00022,Attiches,2017,1862,292,1570,1541,15.68,LE PEN,MACRON,FILLON,MÉLENCHON,HAMON,28.62,21.8,19.73,15.7,5.52,DROITE,CENTRE,DROITE,GAUCHE,GAUCHE,21.8,1.95,53.54,22.71,9.65,24071.0,59.21,9.7,22.0,2238,2268,DROITE,0,LE PEN
59023,00023,Aubencheul-au-Bac,2017,421,64,357,341,15.2,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,36.66,16.72,15.84,13.78,10.56,DROITE,DROITE,GAUCHE,CENTRE,DROITE,13.78,1.76,63.93,20.53,13.71,21629.0,52.76,0.0,0.0,538,545,DROITE,0,LE PEN
59024,00024,Auberchicourt,2017,3241,709,2532,2455,21.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,38.29,21.83,17.07,8.51,6.84,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,17.07,0.69,51.32,30.92,17.81,18157.0,51.83,27.47,121.0,4626,4663,DROITE,0,LE PEN
59025,00025,Aubers,2017,1385,221,1164,1146,15.96,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,31.5,23.56,19.46,10.56,6.28,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.56,2.53,57.24,16.67,6.16,27613.0,63.9,0.0,0.0,1722,1752,DROITE,0,FILLON
59026,00026,Aubigny-au-Bac,2017,886,148,738,718,16.7,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,46.8,14.48,14.07,11.0,6.96,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.07,1.95,64.76,19.22,13.93,20809.0,53.2,11.82,14.0,1159,1175,DROITE,0,LE PEN
59027,00027,Aubry-du-Hainaut,2017,1267,194,1073,1042,15.31,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,27.35,23.13,20.92,15.36,5.85,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.13,1.82,54.13,20.92,8.82,23462.0,59.88,12.72,21.0,1726,1742,DROITE,0,LE PEN
59028,00028,Auby,2017,4991,1107,3884,3797,22.18,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,37.32,33.53,12.3,5.5,5.27,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,12.3,1.69,45.22,40.8,25.66,16623.0,56.47,44.61,325.0,7188,7222,DROITE,0,LE PEN
