code_commune,commune,candidat,nb_votes,2017_votes,2017_target,2022_votes,2022_target,inscrits,abstentions,votants,exprimes,pct_abstention,pct_CENTRE,pct_DROITE,pct_GAUCHE,pct_DIVERS,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,Tg
530,Saint-Aybert,FILLON,44,19.13,0,20.43,0,287,53,234,230,18.47,14.78,59.57,22.61,3.04,18.94,20884.0,49.02,18.77,7.0,373,378,0
531,Saint-Benin,LE PEN,108,49.09,1,37.02,1,262,38,224,220,14.5,11.36,60.91,23.18,4.55,13.79,18102.0,47.15,0.0,0.0,338,341,1
531,Saint-Benin,MÉLENCHON,42,19.09,0,20.99,0,262,38,224,220,14.5,11.36,60.91,23.18,4.55,13.79,18102.0,47.15,0.0,0.0,338,341,0
532,Saint-Georges-sur-l'Aa,LE PEN,68,37.16,1,34.72,1,226,36,190,183,15.93,13.66,64.48,17.49,4.37,11.11,20825.0,51.47,0.0,0.0,309,317,1
532,Saint-Georges-sur-l'Aa,FILLON,32,17.49,0,25.39,0,226,36,190,183,15.93,13.66,64.48,17.49,4.37,11.11,20825.0,51.47,0.0,0.0,309,317,0
533,Saint-Hilaire-lez-Cambrai,LE PEN,352,36.86,1,46.47,1,1167,196,971,955,16.8,15.08,56.86,26.6,1.47,15.83,19010.0,54.84,12.27,20.0,1630,1644,1
533,Saint-Hilaire-lez-Cambrai,MÉLENCHON,209,21.88,0,18.79,0,1167,196,971,955,16.8,15.08,56.86,26.6,1.47,15.83,19010.0,54.84,12.27,20.0,1630,1644,0
534,Saint-Hilaire-sur-Helpe,LE PEN,176,34.11,1,33.57,1,629,103,526,516,16.38,16.86,55.62,25.58,1.94,13.33,19674.0,51.61,0.0,0.0,809,841,1
534,Saint-Hilaire-sur-Helpe,MÉLENCHON,95,18.41,0,23.57,0,629,103,526,516,16.38,16.86,55.62,25.58,1.94,13.33,19674.0,51.61,0.0,0.0,809,841,0
535,Saint-Jans-Cappel,LE PEN,288,24.41,1,36.6,1,1394,172,1222,1180,12.34,24.41,52.71,20.76,2.12,13.64,23661.0,59.34,5.78,10.0,1730,1780,1
535,Saint-Jans-Cappel,MACRON,288,24.41,0,24.71,0,1394,172,1222,1180,12.34,24.41,52.71,20.76,2.12,13.64,23661.0,59.34,5.78,10.0,1730,1780,0
536,Sainte-Marie-Cappel,MACRON,159,25.98,1,33.96,1,689,65,624,612,9.43,25.98,51.8,20.42,1.8,10.34,23226.0,57.17,0.0,0.0,878,899,1
536,Sainte-Marie-Cappel,LE PEN,147,24.02,0,22.7,0,689,65,624,612,9.43,25.98,51.8,20.42,1.8,10.34,23226.0,57.17,0.0,0.0,878,899,0
537,Saint-Martin-sur-Ecaillon,LE PEN,95,28.36,1,26.81,1,411,70,341,335,17.03,19.4,52.24,27.16,1.19,10.87,21849.0,55.56,0.0,0.0,520,528,1
537,Saint-Martin-sur-Ecaillon,MÉLENCHON,72,21.49,0,26.18,0,411,70,341,335,17.03,19.4,52.24,27.16,1.19,10.87,21849.0,55.56,0.0,0.0,520,528,0
538,Saint-Momelin,LE PEN,80,32.92,1,41.81,1,312,60,252,243,19.23,13.58,57.2,25.51,3.7,19.05,17249.0,54.37,0.0,0.0,480,484,1
538,Saint-Momelin,MÉLENCHON,49,20.16,0,19.4,0,312,60,252,243,19.23,13.58,57.2,25.51,3.7,19.05,17249.0,54.37,0.0,0.0,480,484,0
539,Saint-Pierre-Brouck,LE PEN,169,27.48,1,36.1,1,750,123,627,615,16.4,17.07,55.12,25.37,2.44,14.89,20756.0,46.68,0.0,0.0,993,1010,1
539,Saint-Pierre-Brouck,MÉLENCHON,118,19.19,0,26.08,0,750,123,627,615,16.4,17.07,55.12,25.37,2.44,14.89,20756.0,46.68,0.0,0.0,993,1010,0
541,Saint-Python,LE PEN,231,38.63,1,41.62,1,777,160,617,598,20.59,13.88,54.68,29.93,1.51,18.39,18251.0,50.13,10.87,11.0,1012,1021,1
541,Saint-Python,MÉLENCHON,140,23.41,0,20.54,0,777,160,617,598,20.59,13.88,54.68,29.93,1.51,18.39,18251.0,50.13,10.87,11.0,1012,1021,0
542,Saint-Remy-Chaussée,LE PEN,119,41.61,1,42.8,1,385,91,294,286,23.64,17.83,60.49,18.88,2.8,13.33,20578.0,46.48,0.0,0.0,510,523,1
542,Saint-Remy-Chaussée,MACRON,51,17.83,0,16.73,0,385,91,294,286,23.64,17.83,60.49,18.88,2.8,13.33,20578.0,46.48,0.0,0.0,510,523,0
543,Saint-Remy-du-Nord,LE PEN,261,38.27,1,46.97,1,900,197,703,682,21.89,17.89,62.61,18.04,1.47,11.11,19234.0,42.91,8.03,9.0,1121,1131,1
543,Saint-Remy-du-Nord,FILLON,128,18.77,0,21.6,0,900,197,703,682,21.89,17.89,62.61,18.04,1.47,11.11,19234.0,42.91,8.03,9.0,1121,1131,0
544,Saint-Saulve,LE PEN,1774,27.84,1,30.04,1,8232,1689,6543,6372,20.52,20.12,54.35,24.03,1.51,15.89,20258.0,56.86,42.38,473.0,11161,11303,1
544,Saint-Saulve,FILLON,1336,20.97,0,28.45,0,8232,1689,6543,6372,20.52,20.12,54.35,24.03,1.51,15.89,20258.0,56.86,42.38,473.0,11161,11303,0
545,Saint-Souplet,LE PEN,322,43.75,1,50.59,1,944,193,751,736,20.44,13.18,65.08,20.38,1.36,23.15,17142.0,51.36,9.73,12.0,1233,1250,1
