code_geo,libelle_commune,annee,bloc_vainqueur,cible_binaire,cible_multiclasse,taux_faible_diplome_scaled,revenu_median_scaled,log_delinquance_scaled,log_population_scaled,pct_abstention_scaled,cible_transition,cible_transition_enc
59001,Abancourt,2017,DROITE,0,0,-0.399200004488888,0.6082871631386931,-1.032153966622708,-0.9185536672226944,-1.2296702437414218,STABLE_DROITE,0
59002,Abscon,2017,DROITE,0,0,-0.8655579687242615,-1.1288769127828002,1.2993386895501795,0.8265902624255349,0.3115835545285409,STABLE_DROITE,0
59003,Aibes,2017,DROITE,0,0,-2.2626967661431014,-1.118368547862292,-1.032153966622708,-1.1010127556648237,-0.40880567467513196,STABLE_DROITE,0
59004,Aix,2017,DROITE,0,0,0.5915687826003712,1.5146336375325156,-1.032153966622708,-0.0641264810627408,-1.853375655341444,BASCULE_CENTRE,1
59005,Allennes-les-Marais,2017,DROITE,0,0,0.5973740684622225,0.678233467140825,0.6609204853675041,0.6972118765202361,-0.4486166583942821,STABLE_DROITE,0
59006,Amfroipret,2017,DROITE,0,0,-0.04507756691596934,1.2939579742018459,-1.032153966622708,-1.486117239356555,-0.9623679244842696,STABLE_DROITE,0
59007,Anhiers,2017,DROITE,0,0,-1.3435265046833391,-0.41726357582214313,-1.032153966622708,-0.3944507076723998,-0.8182900786435351,STABLE_DROITE,0
59008,Aniche,2017,DROITE,0,0,-1.0397165445797965,-1.6815512303207725,1.3153602161374423,1.509916116985981,2.211136206270857,STABLE_DROITE,0
59009,Villeneuve-d'Ascq,2017,GAUCHE,1,2,2.1493204888637587,-0.3348385884769078,1.4806344526781543,2.950037792857776,0.6168010963753601,GAUCHE,3
59010,Anneux,2017,DROITE,0,0,0.3941890632974335,-0.017945708842835768,-1.032153966622708,-1.3655387595372823,-1.1443609929146712,STABLE_DROITE,0
59011,Annoeullin,2017,DROITE,0,0,0.5915687826003712,0.039521911816192835,1.2241602674938425,1.5693874900919378,0.6186968575048437,STABLE_DROITE,0
59012,Anor,2017,DROITE,0,0,-0.44564229138369743,-1.26351533832681,0.9301230671341866,0.6125852444796955,1.7030722235693194,STABLE_DROITE,0
59013,Anstaing,2017,CENTRE,1,1,1.6132990942861718,1.094627427115958,0.623644761103334,0.06562456603095007,-0.6761079939322838,CENTRE,2
59014,Anzin,2017,DROITE,0,0,0.028456054000812143,-1.9560822638690463,1.4806344526781543,1.7422674540557643,2.5125622258587095,STABLE_DROITE,0
59015,Arleux,2017,DROITE,0,0,-0.10506552082176342,-0.3528998406840311,0.8867461396416385,0.5994330300166578,-0.09410932718089592,STABLE_DROITE,0
59016,Armbouts-Cappel,2017,DROITE,0,0,-0.4978898641403568,0.44803459810094476,0.22543946514980245,0.2888303177314677,-1.0306153251456704,STABLE_DROITE,0
59017,Armentières,2017,DROITE,0,0,0.8257153123617003,-1.2004651488037614,1.4806344526781543,2.250942644591679,2.0443092268763223,STABLE_DROITE,0
59018,Arnèke,2017,DROITE,0,0,1.129525272465243,-0.45338608023638965,-0.07348316953298233,0.04568058666616493,-0.8372476899383685,STABLE_DROITE,0
59019,Artres,2017,DROITE,0,0,0.7057394045501107,0.6017194350633756,-1.032153966622708,-0.2564016260001171,-0.4353463304878986,STABLE_DROITE,0
59021,Assevent,2017,DROITE,0,0,-0.8578175875751268,-0.47571635569246934,0.26935276893215254,0.15622405591830318,-0.2059592338204135,STABLE_DROITE,0
