code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur
59074,00074,Bertry,2017,1666,363,1303,1261,21.79,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,36.64,18.79,15.94,11.9,7.22,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.94,2.3,55.75,26.01,DROITE
59075,00075,Béthencourt,2017,538,81,457,443,15.06,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.28,20.99,13.54,11.74,7.45,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.54,2.03,67.72,16.7,DROITE
59076,00076,Bettignies,2017,210,28,182,180,13.33,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,35.56,17.78,17.22,14.44,7.78,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.22,2.78,57.78,22.22,DROITE
59077,00077,Bettrechies,2017,174,30,144,140,17.24,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,30.0,19.29,17.86,16.43,6.43,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.86,5.0,52.86,24.29,DROITE
59078,00078,Beugnies,2017,442,73,369,362,16.52,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,35.91,17.68,17.13,16.02,7.46,DROITE,GAUCHE,DROITE,CENTRE,DROITE,16.02,0.55,60.5,22.93,DROITE
59079,00079,Beuvrages,2017,4627,1340,3287,3214,28.96,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,37.34,29.65,14.84,7.06,4.26,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.84,1.0,47.95,36.22,DROITE
59080,00080,Beuvry-la-Forêt,2017,2260,374,1886,1837,16.55,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,26.84,23.41,18.4,17.8,5.82,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.41,1.2,51.06,24.33,DROITE
59081,00081,Bévillers,2017,441,69,372,359,15.65,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,38.44,18.11,15.32,14.76,5.57,DROITE,DROITE,CENTRE,GAUCHE,DROITE,15.32,0.56,62.12,22.01,DROITE
59082,00082,Bierne,2017,1417,190,1227,1194,13.41,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,33.42,23.12,16.58,13.07,6.78,DROITE,CENTRE,GAUCHE,DROITE,DROITE,23.12,1.26,53.27,22.36,DROITE
59083,00083,Bissezeele,2017,182,28,154,149,15.38,FILLON,LE PEN,MÉLENCHON,MACRON,DUPONT-AIGNAN,28.19,26.17,17.45,16.11,9.4,DROITE,DROITE,GAUCHE,CENTRE,DROITE,16.11,0.0,63.76,20.13,DROITE
59084,00084,Blaringhem,2017,1629,320,1309,1266,19.64,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,31.52,21.01,17.3,16.9,6.48,DROITE,CENTRE,DROITE,GAUCHE,DROITE,21.01,1.26,55.29,22.43,DROITE
59085,00085,Blécourt,2017,277,42,235,232,15.16,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,37.93,19.83,18.97,9.91,7.33,DROITE,DROITE,CENTRE,GAUCHE,DROITE,18.97,2.59,65.09,13.36,DROITE
59086,00086,Boeschepe,2017,1748,316,1432,1393,18.08,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,29.43,18.45,17.88,17.52,7.82,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,18.45,1.58,52.69,27.28,DROITE
59087,00087,Boëseghem,2017,604,85,519,508,14.07,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,32.87,21.26,16.54,13.98,6.5,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,21.26,1.97,50.59,26.18,DROITE
