code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur
59138,00138,Cattenières,2017,499,75,424,413,15.03,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.47,18.89,16.22,13.8,5.57,DROITE,DROITE,CENTRE,GAUCHE,DROITE,16.22,0.73,63.92,19.13,DROITE
59139,00139,Caudry,2017,10039,2774,7265,7042,27.63,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,35.77,19.53,17.13,13.33,5.11,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,17.13,1.75,54.02,27.11,DROITE
59140,00140,Caullery,2017,379,94,285,278,24.8,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,44.6,16.91,13.31,9.71,7.91,DROITE,CENTRE,GAUCHE,DROITE,DROITE,16.91,0.72,62.23,20.14,DROITE
59141,00141,Cauroir,2017,446,81,365,359,18.16,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,31.75,19.5,16.99,13.93,7.8,DROITE,CENTRE,DROITE,GAUCHE,DROITE,19.5,1.67,56.55,22.28,DROITE
59142,00142,Cerfontaine,2017,510,92,418,407,18.04,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,47.42,14.99,13.76,10.32,6.14,DROITE,CENTRE,DROITE,GAUCHE,DROITE,14.99,1.72,67.32,15.97,DROITE
59143,00143,La Chapelle-d'Armentières,2017,6278,1257,5021,4891,20.02,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,25.31,22.49,22.24,16.42,6.15,DROITE,CENTRE,DROITE,GAUCHE,DROITE,22.49,1.59,53.71,22.2,DROITE
59144,00144,Château-l'Abbaye,2017,595,102,493,485,17.14,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,31.13,22.27,19.38,17.32,4.95,DROITE,DROITE,GAUCHE,CENTRE,DROITE,17.32,1.24,58.35,23.09,DROITE
59145,00145,Chemy,2017,597,79,518,513,13.23,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,26.32,21.05,20.27,15.98,8.38,DROITE,CENTRE,DROITE,GAUCHE,DROITE,21.05,2.34,54.97,21.64,DROITE
59146,00146,Chéreng,2017,2477,369,2108,2069,14.9,FILLON,MACRON,LE PEN,MÉLENCHON,HAMON,27.89,27.79,16.48,14.4,5.36,DROITE,CENTRE,DROITE,GAUCHE,GAUCHE,27.79,1.79,49.64,20.78,DROITE
59147,00147,Choisies,2017,52,9,43,43,17.31,FILLON,LE PEN,MACRON,HAMON,MÉLENCHON,51.16,16.28,16.28,6.98,4.65,DROITE,DROITE,CENTRE,GAUCHE,GAUCHE,16.28,2.33,69.77,11.63,DROITE
59148,00148,Clairfayts,2017,256,72,184,180,28.13,LE PEN,MÉLENCHON,FILLON,MACRON,HAMON,37.78,21.67,14.44,10.56,6.67,DROITE,GAUCHE,DROITE,CENTRE,GAUCHE,10.56,2.78,56.67,30.0,DROITE
