code_geo,libelle_commune,annee,bloc_vainqueur,cible_binaire,cible_multiclasse,bloc_cand1_enc,taux_faible_diplome_scaled,bloc_cand3_enc,bloc_cand2_enc,bloc_cand5_enc,revenu_median_scaled,log_delinquance_scaled,cible_transition,cible_transition_enc
59483,Quiévelon,2017,DROITE,0,0,0,-0.915870446193639,1,0,2,0.13442558250453152,-1.032153966622708,STABLE_DROITE,0
59484,Quiévrechain,2017,DROITE,0,0,0,-0.6410869153993518,1,2,2,-1.9619932191368321,1.4806344526781543,STABLE_DROITE,0
59485,Quiévy,2017,DROITE,0,0,0,-0.18633952288767958,1,2,0,-0.7568151173160607,0.033142108394216344,STABLE_DROITE,0
59486,Râches,2017,DROITE,0,0,0,-0.2618082390917444,1,2,2,-0.3699759336798567,0.8104379130897926,STABLE_DROITE,0
59487,Radinghem-en-Weppes,2017,DROITE,0,0,0,1.6403904283081439,0,1,0,2.59929392917121,0.515204259144249,BASCULE_CENTRE,1
59488,Raillencourt-Sainte-Olle,2017,DROITE,0,0,0,-0.03153189990498331,0,1,0,-0.13156740454582946,0.7114438603360212,STABLE_DROITE,0
59489,Raimbeaucourt,2017,DROITE,0,0,0,-0.1031304255344801,2,1,2,0.18860933912590133,0.9128038143961071,STABLE_DROITE,0
59490,Rainsars,2017,DROITE,0,0,0,-2.111759333734972,1,0,2,-0.014661844805176991,-1.032153966622708,STABLE_DROITE,0
59491,Raismes,2017,DROITE,0,0,0,-0.29276976368828445,1,2,0,-1.6431300210801647,1.4741715391665413,STABLE_DROITE,0
59492,Ramillies,2017,DROITE,0,0,0,-1.5796081297319515,0,1,2,-0.43565321443303223,-1.032153966622708,STABLE_DROITE,0
59493,Ramousies,2017,DROITE,0,0,0,-2.2723722425795194,0,1,0,-0.9370992529835276,-1.032153966622708,STABLE_DROITE,0
59494,Raucourt-au-Bois,2017,DROITE,0,0,0,-0.948767066077461,1,2,0,0.0001155433642875073,-1.032153966622708,STABLE_DROITE,0
59495,Recquignies,2017,DROITE,0,0,0,-0.6236710578137977,1,2,0,-1.3633448050716368,0.41204102534140813,STABLE_DROITE,0
59496,Rejet-de-Beaulieu,2017,DROITE,0,0,0,0.2858237272095453,2,0,2,-0.9364424801759959,-1.032153966622708,STABLE_DROITE,0
59497,Renescure,2017,DROITE,0,0,0,0.4464366360540929,0,1,0,0.013250999514922618,0.007854395511838901,STABLE_DROITE,0
59498,Reumont,2017,DROITE,0,0,0,-0.6681782494213239,1,0,0,-0.9315166841195076,-1.032153966622708,STABLE_DROITE,0
