code_geo,libelle_commune,pred_binaire,proba_droite,proba_exception,pred_label,scenario
59482,Quesnoy-sur-Deûle,1,0.13703353953692754,0.8629664604630725,EXCEPTION,Neutre
59483,Quiévelon,0,0.8710352923577026,0.1289647076422974,DROITE,Neutre
59484,Quiévrechain,0,0.8680120536906607,0.13198794630933927,DROITE,Neutre
59485,Quiévy,0,0.8843308501276296,0.1156691498723704,DROITE,Neutre
59486,Râches,0,0.7661735865065993,0.23382641349340066,DROITE,Neutre
59487,Radinghem-en-Weppes,1,0.11218291018642235,0.8878170898135777,EXCEPTION,Neutre
59488,Raillencourt-Sainte-Olle,0,0.6616872504950284,0.33831274950497153,DROITE,Neutre
59489,Raimbeaucourt,0,0.7268367903734549,0.27316320962654506,DROITE,Neutre
59490,Rainsars,0,0.765405516605465,0.2345944833945351,DROITE,Neutre
59491,Raismes,0,0.8499798921066268,0.15002010789337317,DROITE,Neutre
59492,Ramillies,0,0.9550816978970961,0.044918302102903956,DROITE,Neutre
59493,Ramousies,0,0.8670575315328243,0.1329424684671757,DROITE,Neutre
59494,Raucourt-au-Bois,0,0.5404874160448309,0.45951258395516914,DROITE,Neutre
59495,Recquignies,0,0.953951920211735,0.046048079788264966,DROITE,Neutre
59496,Rejet-de-Beaulieu,0,0.9086559097859361,0.0913440902140639,DROITE,Neutre
59497,Renescure,0,0.9351932661081754,0.06480673389182459,DROITE,Neutre
59498,Reumont,0,0.987553050755491,0.012446949244508997,DROITE,Neutre
59499,Rexpoëde,0,0.7129074765756476,0.2870925234243525,DROITE,Neutre
59500,Ribécourt-la-Tour,0,0.6476081773457958,0.3523918226542042,DROITE,Neutre
59501,Rieulay,0,0.8403674920335834,0.1596325079664166,DROITE,Neutre
59502,Rieux-en-Cambrésis,0,0.9523086523814236,0.047691347618576456,DROITE,Neutre
59503,Robersart,1,0.3358337580788383,0.6641662419211617,EXCEPTION,Neutre
59504,Roeulx,0,0.8934446914818044,0.10655530851819561,DROITE,Neutre
59505,Rombies-et-Marchipont,0,0.7938093045753635,0.20619069542463656,DROITE,Neutre
59506,Romeries,0,0.8044030654667796,0.19559693453322036,DROITE,Neutre
59507,Ronchin,1,0.16352939054716986,0.8364706094528301,EXCEPTION,Neutre
59508,Roncq,1,0.1975269522349532,0.8024730477650468,EXCEPTION,Neutre
59509,Roost-Warendin,0,0.824691661987611,0.17530833801238893,DROITE,Neutre
59511,Rosult,1,0.4105730471611595,0.5894269528388405,EXCEPTION,Neutre
59512,Roubaix,1,0.3971385361164942,0.6028614638835058,EXCEPTION,Neutre
59513,Roucourt,0,0.8428204816709558,0.15717951832904417,DROITE,Neutre
59514,Rousies,0,0.6635045414040732,0.3364954585959267,DROITE,Neutre
59515,Rouvignies,0,0.85242961471485,0.14757038528514999,DROITE,Neutre
59516,Rubrouck,0,0.8278351144715277,0.17216488552847234,DROITE,Neutre
59517,Les Rues-des-Vignes,0,0.8316687039563089,0.16833129604369107,DROITE,Neutre
59518,Ruesnes,0,0.5875965981173892,0.4124034018826108,DROITE,Neutre
59519,Rumegies,0,0.8044010086189779,0.1955989913810221,DROITE,Neutre
59520,Rumilly-en-Cambrésis,0,0.7869576518501359,0.21304234814986414,DROITE,Neutre
59521,Sailly-lez-Cambrai,0,0.8231687088902695,0.17683129110973045,DROITE,Neutre
59522,Sailly-lez-Lannoy,1,0.04609812336173624,0.9539018766382638,EXCEPTION,Neutre
59523,Sainghin-en-Mélantois,1,0.008836447841628958,0.991163552158371,EXCEPTION,Neutre
59524,Sainghin-en-Weppes,1,0.3194696467299646,0.6805303532700354,EXCEPTION,Neutre
59525,Sains-du-Nord,0,0.8573918496355879,0.14260815036441207,DROITE,Neutre
59526,Saint-Amand-les-Eaux,1,0.41749574651107935,0.5825042534889207,EXCEPTION,Neutre
59527,Saint-André-lez-Lille,1,0.06390036608560146,0.9360996339143985,EXCEPTION,Neutre
59528,Saint-Aubert,0,0.7873249625241836,0.21267503747581634,DROITE,Neutre
59529,Saint-Aubin,0,0.808152620778162,0.19184737922183806,DROITE,Neutre
59530,Saint-Aybert,0,0.9569309441654024,0.043069055834597615,DROITE,Neutre
59531,Saint-Benin,0,0.9076331447529391,0.09236685524706087,DROITE,Neutre
59532,Saint-Georges-sur-l'Aa,0,0.8192455734427461,0.1807544265572539,DROITE,Neutre
59533,Saint-Hilaire-lez-Cambrai,0,0.8960271789505847,0.1039728210494153,DROITE,Neutre
59534,Saint-Hilaire-sur-Helpe,0,0.7193697192271902,0.2806302807728098,DROITE,Neutre
59535,Saint-Jans-Cappel,1,0.46805280170308805,0.531947198296912,EXCEPTION,Neutre
59536,Sainte-Marie-Cappel,1,0.4850608377375559,0.5149391622624441,EXCEPTION,Neutre
59537,Saint-Martin-sur-Ecaillon,0,0.7254047563241335,0.2745952436758666,DROITE,Neutre
59538,Saint-Momelin,0,0.9831163836061303,0.016883616393869677,DROITE,Neutre
59539,Saint-Pierre-Brouck,0,0.9552605988930171,0.04473940110698296,DROITE,Neutre
59541,Saint-Python,0,0.969236178785763,0.030763821214237083,DROITE,Neutre
