code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59050,00050,Bas-Lieu,2022,237,38,199,192,16.03,LE PEN,MACRON,MÉLENCHON,PÉCRESSE,ZEMMOUR,35.94,31.77,10.94,6.77,3.65,DROITE,CENTRE,GAUCHE,DROITE,DROITE,31.77,3.12,47.4,17.71,3.3,24480.0,48.32,0.0,0.0,339,347,DROITE,0,LE PEN
59053,00053,Bavay,2022,2285,636,1649,1605,27.83,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,38.38,25.3,13.83,8.54,4.36,DROITE,CENTRE,GAUCHE,DROITE,DROITE,25.3,2.18,52.71,19.81,17.34,20510.0,55.55,34.88,113.0,3246,3306,DROITE,0,LE PEN
59062,00062,Beaurieux,2022,103,16,87,85,15.53,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,JADOT,32.94,30.59,11.76,5.88,4.71,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,30.59,1.18,45.88,22.35,7.69,22770.0,54.31,0.0,0.0,164,171,DROITE,0,LE PEN
59065,00065,Bellignies,2022,618,167,451,444,27.02,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,37.61,25.9,16.22,5.86,4.28,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,25.9,1.35,48.65,24.1,14.47,23270.0,49.92,0.0,0.0,809,827,DROITE,0,LE PEN
59066,00066,Bérelles,2022,118,26,92,90,22.03,LE PEN,ZEMMOUR,MACRON,MÉLENCHON,LASSALLE,42.22,18.89,16.67,7.78,5.56,DROITE,DROITE,CENTRE,GAUCHE,DIVERS,16.67,5.56,64.44,13.33,0.0,23480.0,43.44,0.0,0.0,162,167,DROITE,0,LE PEN
59070,00070,Bermeries,2022,271,68,203,200,25.09,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,33.0,20.5,14.0,8.5,6.5,DROITE,CENTRE,GAUCHE,DROITE,DROITE,20.5,5.5,51.0,23.0,9.88,24140.0,53.95,3.24,5.0,378,381,DROITE,0,LE PEN
59072,00072,Bersillies,2022,178,39,139,136,21.91,MACRON,LE PEN,MÉLENCHON,ZEMMOUR,PÉCRESSE,34.56,33.82,13.24,4.41,2.94,CENTRE,DROITE,GAUCHE,DROITE,DROITE,34.56,2.21,42.65,20.59,9.85,26420.0,45.13,0.0,0.0,250,252,CENTRE,1,MACRON
59076,00076,Bettignies,2022,211,48,163,159,22.75,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,ZEMMOUR,41.51,24.53,15.09,6.29,3.14,DROITE,CENTRE,GAUCHE,DROITE,DROITE,24.53,2.52,53.46,19.5,22.56,20020.0,40.82,0.0,0.0,309,314,DROITE,0,LE PEN
59077,00077,Bettrechies,2022,183,38,145,145,20.77,LE PEN,MACRON,MÉLENCHON,LASSALLE,PÉCRESSE,35.86,22.07,13.79,7.59,5.52,DROITE,CENTRE,GAUCHE,DIVERS,DROITE,22.07,7.59,48.28,22.07,8.0,21650.0,60.44,0.0,0.0,258,264,DROITE,0,LE PEN
59078,00078,Beugnies,2022,452,100,352,347,22.12,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,36.02,27.38,14.12,5.48,3.75,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,27.38,2.02,46.11,24.5,19.99,22250.0,53.07,0.0,0.0,611,617,DROITE,0,LE PEN
59101,00101,Bousignies-sur-Roc,2022,214,68,146,145,31.78,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,DUPONT-AIGNAN,33.79,19.31,11.72,11.03,6.21,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.31,2.07,55.17,23.45,19.0,21990.0,46.97,0.0,0.0,376,387,DROITE,0,LE PEN
59104,00104,Boussois,2022,2080,526,1554,1529,25.29,LE PEN,MÉLENCHON,MACRON,ROUSSEL,ZEMMOUR,45.72,19.69,16.68,5.82,3.79,DROITE,GAUCHE,CENTRE,GAUCHE,DROITE,16.68,1.31,52.52,29.5,16.67,19240.0,48.23,10.51,33.0,3157,3181,DROITE,0,LE PEN
59142,00142,Cerfontaine,2022,533,155,378,376,29.08,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,43.88,23.67,11.7,7.18,5.32,DROITE,CENTRE,GAUCHE,DROITE,DROITE,23.67,0.8,57.98,17.55,9.37,24510.0,48.61,0.0,0.0,688,698,DROITE,0,LE PEN
59147,00147,Choisies,2022,50,11,39,38,22.0,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,LASSALLE,28.95,28.95,10.53,10.53,7.89,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,28.95,7.89,52.63,10.53,11.11,23030.0,60.47,0.0,0.0,46,48,DROITE,0,LE PEN
59148,00148,Clairfayts,2022,245,82,163,162,33.47,LE PEN,MACRON,MÉLENCHON,PÉCRESSE,ZEMMOUR,44.44,16.05,14.2,7.41,4.94,DROITE,CENTRE,GAUCHE,DROITE,DROITE,16.05,2.47,58.64,22.84,17.86,22640.0,53.14,0.0,0.0,363,364,DROITE,0,LE PEN
59151,00151,Colleret,2022,1206,353,853,834,29.27,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,46.04,20.74,10.91,8.27,2.76,DROITE,CENTRE,GAUCHE,DROITE,DROITE,20.74,2.52,59.35,17.39,6.67,22560.0,48.86,0.0,0.0,1573,1595,DROITE,0,LE PEN
59157,00157,Cousolre,2022,1443,416,1027,1002,28.83,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,42.32,21.86,13.17,7.58,4.69,DROITE,CENTRE,GAUCHE,DROITE,DROITE,21.86,1.6,57.39,19.16,17.73,20440.0,48.68,15.28,33.0,2169,2188,DROITE,0,LE PEN
59169,00169,Damousies,2022,162,35,127,123,21.6,LE PEN,MACRON,ZEMMOUR,PÉCRESSE,MÉLENCHON,39.02,30.08,8.13,7.32,5.69,DROITE,CENTRE,DROITE,DROITE,GAUCHE,30.08,4.07,56.1,9.76,15.79,19920.0,49.7,0.0,0.0,206,211,DROITE,0,LE PEN
59174,00174,Dimechaux,2022,246,60,186,182,24.39,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,JADOT,35.16,27.47,8.79,7.69,7.14,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,27.47,3.85,51.1,17.58,0.0,24080.0,52.59,0.0,0.0,326,340,DROITE,0,LE PEN
59175,00175,Dimont,2022,242,51,191,190,21.07,MACRON,LE PEN,MÉLENCHON,PÉCRESSE,ZEMMOUR,33.68,26.32,13.16,7.89,5.79,CENTRE,DROITE,GAUCHE,DROITE,DROITE,33.68,3.16,43.16,20.0,11.23,23760.0,49.57,0.0,0.0,303,314,CENTRE,1,MACRON
59177,00177,Dompierre-sur-Helpe,2022,655,182,473,462,27.79,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,38.31,22.73,15.15,5.41,4.76,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.73,3.46,50.87,22.94,8.31,21650.0,51.65,0.0,0.0,859,873,DROITE,0,LE PEN
