commune,candidat,pct_2022,target_2022,prediction,correct
Ramousies,MACRON,25.2,0,0,1
Recquignies,LE PEN,48.03,1,1,1
Recquignies,MÉLENCHON,17.29,0,0,1
Rousies,LE PEN,39.91,1,1,1
Rousies,MACRON,20.65,0,0,1
Saint-Aubin,LE PEN,32.98,1,1,1
Saint-Aubin,MACRON,24.47,0,0,1
Saint-Hilaire-sur-Helpe,LE PEN,33.57,1,1,1
Saint-Hilaire-sur-Helpe,MACRON,23.57,0,0,1
Saint-Waast,LE PEN,35.1,1,1,1
Saint-Waast,MACRON,22.73,0,0,1
Sars-Poteries,LE PEN,42.2,1,1,1
Sars-Poteries,MACRON,23.15,0,0,1
Sémeries,LE PEN,36.83,1,1,1
Sémeries,MACRON,24.55,0,0,1
Semousies,LE PEN,39.86,1,1,1
Semousies,MACRON,29.73,0,1,0
Solre-le-Château,LE PEN,35.1,1,1,1
Solre-le-Château,MACRON,28.98,0,1,0
Solrinnes,LE PEN,42.65,1,1,1
Solrinnes,MACRON,22.06,0,0,1
Taisnières-en-Thiérache,LE PEN,44.61,1,1,1
Taisnières-en-Thiérache,MACRON,15.61,0,0,1
Taisnières-sur-Hon,LE PEN,35.25,1,1,1
Taisnières-sur-Hon,MACRON,28.78,0,1,0
Trélon,LE PEN,47.65,1,1,1
Trélon,MACRON,22.96,0,0,1
Vieux-Reng,LE PEN,47.94,1,1,1
Vieux-Reng,MACRON,18.16,0,0,1
Villers-Sire-Nicole,LE PEN,47.23,1,1,1
Villers-Sire-Nicole,MACRON,20.53,0,0,1
Wallers-en-Fagne,LE PEN,47.13,1,1,1
Wallers-en-Fagne,MACRON,22.29,0,0,1
Wattignies-la-Victoire,MACRON,33.9,1,1,1
Wattignies-la-Victoire,LE PEN,28.81,0,1,0
Wignehies,LE PEN,45.58,1,1,1
Wignehies,MACRON,18.34,0,0,1
Willies,LE PEN,28.38,1,1,1
Willies,MÉLENCHON,27.03,0,0,1
Comines,LE PEN,31.56,1,1,1
Comines,MACRON,27.79,0,1,0
Deûlémont,MACRON,35.74,1,1,1
Deûlémont,LE PEN,27.45,0,1,0
Lambersart,MACRON,39.74,1,1,1
Lambersart,MÉLENCHON,21.28,0,0,1
Lompret,MACRON,45.05,1,1,1
Lompret,LE PEN,12.59,0,0,1
La Madeleine,MACRON,36.2,1,1,1
La Madeleine,MÉLENCHON,24.87,0,0,1
Marquette-lez-Lille,MACRON,34.17,1,1,1
Marquette-lez-Lille,LE PEN,24.28,0,0,1
Pérenchies,MACRON,29.54,1,1,1
Pérenchies,LE PEN,28.12,0,1,0
Quesnoy-sur-Deûle,MACRON,35.65,1,1,1
Quesnoy-sur-Deûle,LE PEN,24.84,0,0,1
Saint-André-lez-Lille,MACRON,35.16,1,1,1
Saint-André-lez-Lille,MÉLENCHON,22.45,0,0,1
Verlinghem,MACRON,44.28,1,1,1
Verlinghem,LE PEN,15.81,0,0,1
Wambrechies,MACRON,39.3,1,1,1
Wambrechies,LE PEN,19.63,0,0,1
Warneton,MACRON,33.77,1,1,1
Warneton,LE PEN,26.62,0,1,0
Wervicq-Sud,MACRON,33.62,1,1,1
Wervicq-Sud,LE PEN,28.16,0,1,0
Allennes-les-Marais,LE PEN,29.43,1,1,1
Allennes-les-Marais,MACRON,28.45,0,1,0
Annoeullin,LE PEN,32.36,1,1,1
Annoeullin,MACRON,29.06,0,1,0
Aubers,MACRON,35.88,1,1,1
Aubers,LE PEN,22.96,0,0,1
La Bassée,LE PEN,37.6,1,1,1
La Bassée,MACRON,26.37,0,0,1
Bauvin,LE PEN,40.26,1,1,1
Bauvin,MACRON,21.37,0,0,1
Camphin-en-Carembault,MACRON,34.4,1,1,1
Camphin-en-Carembault,LE PEN,26.53,0,1,0
Carnin,MACRON,33.57,1,1,1
Carnin,LE PEN,30.57,0,1,0
Chemy,MACRON,37.36,1,1,1
Chemy,LE PEN,20.69,0,0,1
Emmerin,MACRON,34.06,1,1,1
Emmerin,LE PEN,21.15,0,0,1
Fournes-en-Weppes,MACRON,43.49,1,1,1
Fournes-en-Weppes,LE PEN,18.02,0,0,1
Fromelles,MACRON,36.83,1,1,1
Fromelles,LE PEN,23.31,0,0,1
Gondecourt,MACRON,33.79,1,1,1
Gondecourt,LE PEN,25.38,0,0,1
Hantay,MACRON,28.24,1,1,1
Hantay,LE PEN,27.23,0,1,0
Haubourdin,LE PEN,31.4,1,1,1
Haubourdin,MACRON,25.25,0,0,1
Herlies,MACRON,35.3,1,1,1
Herlies,LE PEN,23.44,0,0,1
Herrin,MACRON,39.38,1,1,1
Herrin,LE PEN,14.67,0,0,1
Houplin-Ancoisne,MACRON,29.51,1,1,1
Houplin-Ancoisne,LE PEN,27.67,0,1,0
Illies,LE PEN,34.33,1,1,1
Illies,MACRON,30.12,0,1,0
Lesquin,MACRON,33.19,1,1,1
Lesquin,LE PEN,24.68,0,0,1
Marquillies,MACRON,30.72,1,1,1
Marquillies,LE PEN,26.49,0,1,0
Noyelles-lès-Seclin,MACRON,38.05,1,1,1
Noyelles-lès-Seclin,MÉLENCHON,18.38,0,0,1
Provin,LE PEN,39.35,1,1,1
Provin,MACRON,23.44,0,0,1
Sainghin-en-Weppes,MACRON,31.18,1,1,1
