commune,candidat,pct_2022,target_2022,prediction,correct
Saint-Python,LE PEN,41.62,1,1,1
Saint-Python,MACRON,20.54,0,0,1
Saint-Remy-Chaussée,LE PEN,42.8,1,1,1
Saint-Remy-Chaussée,MACRON,16.73,0,0,1
Saint-Remy-du-Nord,LE PEN,46.97,1,1,1
Saint-Remy-du-Nord,MACRON,21.6,0,0,1
Saint-Vaast-en-Cambrésis,LE PEN,44.78,1,1,1
Saint-Vaast-en-Cambrésis,MÉLENCHON,16.87,0,0,1
Salesches,LE PEN,36.0,1,1,1
Salesches,MACRON,24.57,0,0,1
Sassegnies,LE PEN,41.86,1,1,1
Sassegnies,ZEMMOUR,14.53,0,0,1
Saulzoir,LE PEN,36.43,1,1,1
Saulzoir,MACRON,23.78,0,0,1
Sepmeries,LE PEN,31.73,1,1,1
Sepmeries,MACRON,28.93,0,1,0
Solesmes,LE PEN,45.71,1,1,1
Solesmes,MACRON,18.45,0,0,1
Sommaing,LE PEN,32.39,1,1,1
Sommaing,MACRON,26.06,0,0,1
Vendegies-au-Bois,LE PEN,34.81,1,1,1
Vendegies-au-Bois,MACRON,25.26,0,0,1
Vendegies-sur-Ecaillon,LE PEN,32.06,1,1,1
Vendegies-sur-Ecaillon,MACRON,26.76,0,1,0
Vertain,LE PEN,31.81,1,1,1
Vertain,MACRON,23.5,0,0,1
Viesly,LE PEN,47.76,1,1,1
Viesly,MACRON,16.39,0,0,1
Vieux-Mesnil,LE PEN,38.98,1,1,1
Vieux-Mesnil,MACRON,28.81,0,1,0
Villereau,LE PEN,32.65,1,1,1
Villereau,MACRON,28.18,0,1,0
Villers-en-Cauchies,LE PEN,44.89,1,1,1
Villers-en-Cauchies,MACRON,18.73,0,0,1
Villers-Pol,MACRON,37.91,1,1,1
Villers-Pol,LE PEN,24.86,0,0,1
Wambaix,LE PEN,31.54,1,1,1
Wambaix,MACRON,25.73,0,0,1
Wargnies-le-Grand,LE PEN,31.56,1,1,1
Wargnies-le-Grand,MACRON,27.41,0,1,0
Wargnies-le-Petit,LE PEN,37.8,1,1,1
Wargnies-le-Petit,MACRON,23.54,0,0,1
Cappelle-la-Grande,LE PEN,43.16,1,1,1
Cappelle-la-Grande,MACRON,19.76,0,0,1
Coudekerque-Branche,LE PEN,36.71,1,1,1
Coudekerque-Branche,MACRON,23.07,0,0,1
Dunkerque,LE PEN,32.4,1,1,1
Dunkerque,MACRON,24.77,0,0,1
Grande-Synthe,MÉLENCHON,42.48,1,1,1
Grande-Synthe,LE PEN,28.67,0,1,0
Téteghem-Coudekerque-Village,MACRON,34.54,1,1,1
Téteghem-Coudekerque-Village,LE PEN,28.25,0,1,0
Armbouts-Cappel,LE PEN,36.49,1,1,1
Armbouts-Cappel,MACRON,27.3,0,1,0
Bambecque,LE PEN,37.68,1,1,1
Bambecque,MACRON,25.36,0,0,1
Bergues,LE PEN,33.1,1,1,1
Bergues,MACRON,31.02,0,1,0
Bierne,LE PEN,34.77,1,1,1
Bierne,MACRON,27.6,0,1,0
Bissezeele,LE PEN,27.61,1,1,1
Bissezeele,MACRON,24.54,0,0,1
Bollezeele,LE PEN,36.98,1,1,1
Bollezeele,MACRON,27.95,0,1,0
Bourbourg,LE PEN,43.69,1,1,1
Bourbourg,MACRON,23.43,0,0,1
Bray-Dunes,LE PEN,35.95,1,1,1
Bray-Dunes,MACRON,26.83,0,0,1
Brouckerque,LE PEN,33.98,1,1,1
Brouckerque,MACRON,28.09,0,1,0
Broxeele,LE PEN,42.49,1,1,1
Broxeele,MACRON,22.32,0,0,1
Cappelle-Brouck,LE PEN,35.2,1,1,1
Cappelle-Brouck,MACRON,24.57,0,0,1
Craywick,LE PEN,44.63,1,1,1
Craywick,MACRON,20.0,0,0,1
Crochte,MACRON,31.4,1,1,1
Crochte,LE PEN,26.09,0,0,1
Drincham,LE PEN,31.65,1,1,1
Drincham,MACRON,22.15,0,0,1
Eringhem,LE PEN,42.12,1,1,1
Eringhem,MACRON,20.89,0,0,1
Esquelbecq,MACRON,31.5,1,1,1
Esquelbecq,LE PEN,26.89,0,1,0
Ghyvelde,LE PEN,35.33,1,1,1
Ghyvelde,MACRON,24.75,0,0,1
Grand-Fort-Philippe,LE PEN,47.21,1,1,1
Grand-Fort-Philippe,MACRON,19.06,0,0,1
Gravelines,LE PEN,40.33,1,1,1
Gravelines,MACRON,20.41,0,0,1
Herzeele,LE PEN,35.14,1,1,1
Herzeele,MACRON,31.53,0,1,0
Holque,LE PEN,44.57,1,1,1
Holque,MACRON,18.48,0,0,1
Hondschoote,LE PEN,38.42,1,1,1
Hondschoote,MACRON,24.96,0,0,1
Hoymille,LE PEN,32.76,1,1,1
Hoymille,MACRON,32.02,0,1,0
Killem,LE PEN,43.75,1,1,1
Killem,MACRON,25.16,0,0,1
Lederzeele,LE PEN,37.59,1,1,1
Lederzeele,MACRON,30.5,0,1,0
Ledringhem,LE PEN,29.36,1,1,1
Ledringhem,MACRON,28.64,0,1,0
Leffrinckoucke,MACRON,29.34,1,1,1
Leffrinckoucke,LE PEN,28.64,0,1,0
Looberghe,LE PEN,39.44,1,1,1
Looberghe,MACRON,22.66,0,0,1
Loon-Plage,LE PEN,44.23,1,1,1
Loon-Plage,MACRON,22.2,0,0,1
Merckeghem,LE PEN,39.14,1,1,1
Merckeghem,MACRON,26.81,0,0,1
Millam,LE PEN,38.65,1,1,1
Millam,MACRON,25.3,0,0,1
Nieurlet,LE PEN,43.11,1,1,1
Nieurlet,MACRON,18.96,0,0,1
Oost-Cappel,LE PEN,41.47,1,1,1
Oost-Cappel,MACRON,22.87,0,0,1
Pitgam,LE PEN,39.66,1,1,1
Pitgam,MACRON,28.81,0,1,0
Quaëdypre,LE PEN,32.47,1,1,1
Quaëdypre,MACRON,30.04,0,1,0
Rexpoëde,LE PEN,36.28,1,1,1
Rexpoëde,MACRON,26.27,0,0,1
Saint-Georges-sur-l'Aa,LE PEN,34.72,1,1,1
Saint-Georges-sur-l'Aa,MACRON,25.39,0,0,1
Saint-Momelin,LE PEN,41.81,1,1,1
Saint-Momelin,MACRON,19.4,0,0,1
Saint-Pierre-Brouck,LE PEN,36.1,1,1,1
Saint-Pierre-Brouck,MACRON,26.08,0,0,1
Socx,MACRON,41.22,1,1,1
Socx,LE PEN,23.35,0,0,1
Spycker,LE PEN,42.42,1,1,1
Spycker,MACRON,23.9,0,0,1
Steene,LE PEN,41.69,1,1,1
Steene,MACRON,27.63,0,1,0
Uxem,MACRON,32.3,1,1,1
Uxem,LE PEN,31.49,0,1,0
Volckerinckhove,LE PEN,35.14,1,1,1
Volckerinckhove,MACRON,32.57,0,1,0
Warhem,LE PEN,32.6,1,1,1
Warhem,MACRON,30.34,0,1,0
Watten,LE PEN,47.83,1,1,1
Watten,MACRON,20.21,0,0,1
West-Cappel,LE PEN,32.9,1,1,1
West-Cappel,MACRON,26.48,0,1,0
Wormhout,LE PEN,31.45,1,1,1
Wormhout,MACRON,29.23,0,1,0
Wulverdinghe,LE PEN,44.0,1,1,1
Wulverdinghe,MÉLENCHON,15.0,0,0,1
Wylder,LE PEN,40.98,1,1,1
Wylder,MACRON,16.94,0,0,1
Zegerscappel,LE PEN,39.72,1,1,1
Zegerscappel,MACRON,23.94,0,0,1
Zuydcoote,MACRON,29.69,1,1,1
Zuydcoote,LE PEN,27.08,0,0,1
Arnèke,LE PEN,33.48,1,1,1
Arnèke,MACRON,28.05,0,1,0
Bailleul,LE PEN,31.0,1,1,1
Bailleul,MACRON,28.99,0,1,0
Bavinchove,LE PEN,37.29,1,1,1
Bavinchove,MACRON,31.02,0,1,0
Berthen,MACRON,30.43,1,1,1
Berthen,LE PEN,24.04,0,0,1
Blaringhem,LE PEN,37.94,1,1,1
Blaringhem,MACRON,27.59,0,1,0
Boeschepe,LE PEN,32.97,1,1,1
Boeschepe,MACRON,25.25,0,0,1
Boëseghem,LE PEN,37.85,1,1,1
Boëseghem,MACRON,28.6,0,1,0
Borre,MACRON,34.25,1,1,1
Borre,LE PEN,27.35,0,1,0
Buysscheure,LE PEN,33.14,1,1,1
Buysscheure,MACRON,27.33,0,1,0
Caëstre,LE PEN,32.02,1,1,1
Caëstre,MACRON,31.85,0,1,0
Cassel,MACRON,31.01,1,1,1
Cassel,LE PEN,23.1,0,0,1
Le Doulieu,MACRON,32.64,1,1,1
Le Doulieu,LE PEN,27.07,0,1,0
Ebblinghem,LE PEN,38.13,1,1,1
Ebblinghem,MACRON,25.07,0,0,1
Eecke,LE PEN,29.83,1,1,1
Eecke,MACRON,28.25,0,1,0
Estaires,LE PEN,39.72,1,1,1
Estaires,MACRON,25.8,0,0,1
Flêtre,LE PEN,32.68,1,1,1
Flêtre,MACRON,26.64,0,1,0
Godewaersvelde,LE PEN,29.29,1,1,1
Godewaersvelde,MACRON,28.95,0,1,0
La Gorgue,LE PEN,40.49,1,1,1
La Gorgue,MACRON,24.07,0,0,1
Hardifort,LE PEN,33.84,1,1,1
Hardifort,MACRON,23.57,0,0,1
Haverskerque,LE PEN,37.42,1,1,1
Haverskerque,MACRON,28.22,0,1,0
Hazebrouck,LE PEN,32.63,1,1,1
Hazebrouck,MACRON,28.27,0,1,0
Hondeghem,MACRON,36.45,1,1,1
Hondeghem,LE PEN,22.26,0,0,1
Houtkerque,LE PEN,33.63,1,1,1
Houtkerque,MACRON,24.28,0,0,1
Lynde,LE PEN,33.07,1,1,1
Lynde,MACRON,25.9,0,0,1
Merris,MACRON,31.68,1,1,1
Merris,LE PEN,27.82,0,1,0
Merville,LE PEN,42.57,1,1,1
Merville,MACRON,21.25,0,0,1
Méteren,MACRON,34.58,1,1,1
Méteren,LE PEN,28.39,0,1,0
Morbecque,LE PEN,31.28,1,1,1
Morbecque,MACRON,28.41,0,1,0
Neuf-Berquin,LE PEN,38.11,1,1,1
Neuf-Berquin,MACRON,22.92,0,0,1
Nieppe,LE PEN,29.98,1,1,1
Nieppe,MACRON,29.73,0,1,0
Noordpeene,LE PEN,33.74,1,1,1
Noordpeene,MACRON,24.44,0,0,1
Ochtezeele,LE PEN,33.01,1,1,1
Ochtezeele,MACRON,28.16,0,1,0
Oudezeele,LE PEN,33.09,1,1,1
Oudezeele,MACRON,27.34,0,1,0
Oxelaëre,MACRON,33.87,1,1,1
Oxelaëre,LE PEN,25.24,0,0,1
Pradelles,LE PEN,33.72,1,1,1
Pradelles,MACRON,33.33,0,1,0
Renescure,LE PEN,37.63,1,1,1
Renescure,MACRON,32.25,0,1,0
Rubrouck,MACRON,31.88,1,1,1
Rubrouck,LE PEN,28.75,0,1,0
Saint-Jans-Cappel,MACRON,36.6,1,1,1
Saint-Jans-Cappel,LE PEN,24.71,0,0,1
Sainte-Marie-Cappel,MACRON,33.96,1,1,1
Sainte-Marie-Cappel,LE PEN,22.7,0,0,1
Saint-Sylvestre-Cappel,LE PEN,32.51,1,1,1
Saint-Sylvestre-Cappel,MACRON,29.79,0,1,0
Sercus,MACRON,35.13,1,1,1
Sercus,LE PEN,29.39,0,1,0
Staple,LE PEN,32.29,1,1,1
Staple,MACRON,32.29,0,1,0
Steenbecque,LE PEN,31.49,1,1,1
Steenbecque,MACRON,30.22,0,1,0
Steenvoorde,MACRON,30.88,1,1,1
Steenvoorde,LE PEN,29.6,0,1,0
Steenwerck,MACRON,29.82,1,1,1
Steenwerck,LE PEN,27.32,0,1,0
Strazeele,LE PEN,33.06,1,1,1
Strazeele,MACRON,28.8,0,1,0
Terdeghem,MACRON,32.75,1,1,1
Terdeghem,LE PEN,26.61,0,1,0
Thiennes,LE PEN,38.26,1,1,1
Thiennes,MACRON,19.53,0,0,1
Vieux-Berquin,LE PEN,32.63,1,1,1
Vieux-Berquin,MACRON,27.99,0,1,0
Wallon-Cappel,MACRON,38.76,1,1,1
Wallon-Cappel,LE PEN,26.87,0,1,0
Wemaers-Cappel,LE PEN,32.62,1,1,1
Wemaers-Cappel,MACRON,27.66,0,1,0
Winnezeele,LE PEN,32.3,1,1,1
Winnezeele,MACRON,31.09,0,1,0
Zermezeele,LE PEN,34.62,1,1,1
Zermezeele,MACRON,31.41,0,1,0
Zuytpeene,LE PEN,34.24,1,1,1
Zuytpeene,MACRON,23.94,0,0,1
Anhiers,LE PEN,46.51,1,1,1
Anhiers,MÉLENCHON,16.77,0,0,1
Aniche,LE PEN,44.63,1,1,1
Aniche,MÉLENCHON,20.82,0,0,1
Auberchicourt,LE PEN,41.52,1,1,1
Auberchicourt,MACRON,20.52,0,0,1
Bouvignies,MACRON,31.56,1,1,1
Bouvignies,LE PEN,25.92,0,1,0
Bruille-lez-Marchiennes,LE PEN,38.28,1,1,1
Bruille-lez-Marchiennes,ROUSSEL,20.13,0,0,1
Dechy,LE PEN,43.27,1,1,1
Dechy,MÉLENCHON,24.36,0,0,1
Ecaillon,LE PEN,44.22,1,1,1
Ecaillon,MACRON,19.96,0,0,1
Erre,LE PEN,41.12,1,1,1
Erre,MACRON,18.77,0,0,1
Fenain,LE PEN,45.7,1,1,1
Fenain,MÉLENCHON,18.87,0,0,1
Flines-lez-Raches,LE PEN,33.26,1,1,1
Flines-lez-Raches,MACRON,28.05,0,1,0
Guesnain,LE PEN,40.36,1,1,1
Guesnain,MÉLENCHON,22.2,0,0,1
Hornaing,LE PEN,43.34,1,1,1
Hornaing,MACRON,17.36,0,0,1
Lallaing,LE PEN,49.1,1,1,1
Lallaing,MÉLENCHON,17.28,0,0,1
Lewarde,LE PEN,37.56,1,1,1
Lewarde,MÉLENCHON,19.4,0,0,1
Loffre,LE PEN,30.99,1,1,1
Loffre,MACRON,29.96,0,1,0
Marchiennes,LE PEN,33.71,1,1,1
Marchiennes,MACRON,25.88,0,0,1
Masny,LE PEN,41.25,1,1,1
Masny,MÉLENCHON,22.57,0,0,1
Montigny-en-Ostrevent,LE PEN,39.96,1,1,1
Montigny-en-Ostrevent,MÉLENCHON,20.86,0,0,1
Pecquencourt,LE PEN,46.09,1,1,1
Pecquencourt,MÉLENCHON,21.13,0,0,1
Rieulay,LE PEN,33.16,1,1,1
Rieulay,MACRON,24.9,0,0,1
Sin-le-Noble,LE PEN,37.84,1,1,1
Sin-le-Noble,MÉLENCHON,24.93,0,0,1
Somain,LE PEN,41.39,1,1,1
Somain,MÉLENCHON,20.63,0,0,1
Tilloy-lez-Marchiennes,MACRON,31.5,1,1,1
Tilloy-lez-Marchiennes,LE PEN,25.5,0,1,0
Vred,LE PEN,35.17,1,1,1
Vred,MACRON,22.25,0,0,1
Wandignies-Hamage,LE PEN,37.15,1,1,1
Wandignies-Hamage,MACRON,28.53,0,1,0
Warlaing,MACRON,30.9,1,1,1
Warlaing,LE PEN,28.09,0,1,0
Waziers,LE PEN,36.27,1,1,1
Waziers,MÉLENCHON,34.94,0,1,0
Arleux,LE PEN,44.59,1,1,1
Arleux,MACRON,20.48,0,0,1
Aubigny-au-Bac,LE PEN,51.1,1,1,1
Aubigny-au-Bac,MACRON,18.3,0,0,1
Auby,LE PEN,38.82,1,1,1
Auby,MÉLENCHON,32.58,0,1,0
Brunémont,LE PEN,48.48,1,1,1
Brunémont,MACRON,17.77,0,0,1
Bugnicourt,LE PEN,43.26,1,1,1
Bugnicourt,MACRON,23.2,0,0,1
Cantin,LE PEN,41.61,1,1,1
Cantin,MACRON,24.6,0,0,1
Courchelettes,LE PEN,42.34,1,1,1
Courchelettes,MACRON,21.17,0,0,1
Cuincy,LE PEN,30.38,1,1,1
Cuincy,MACRON,25.44,0,0,1
Douai,LE PEN,28.07,1,1,1
Douai,MÉLENCHON,27.3,0,0,1
Erchin,MACRON,31.95,1,1,1
Erchin,LE PEN,28.51,0,1,0
Esquerchin,LE PEN,36.49,1,1,1
Esquerchin,MACRON,25.2,0,0,1
Estrées,LE PEN,40.17,1,1,1
Estrées,MACRON,23.14,0,0,1
Féchain,LE PEN,44.93,1,1,1
Féchain,MACRON,20.3,0,0,1
Férin,LE PEN,35.29,1,1,1
Férin,MACRON,25.41,0,0,1
Flers-en-Escrebieux,LE PEN,41.38,1,1,1
Flers-en-Escrebieux,MÉLENCHON,25.15,0,0,1
Fressain,LE PEN,41.44,1,1,1
Fressain,MACRON,24.49,0,0,1
Goeulzin,LE PEN,37.8,1,1,1
Goeulzin,MACRON,25.45,0,0,1
Hamel,LE PEN,44.69,1,1,1
Hamel,MACRON,18.78,0,0,1
Lambres-lez-Douai,LE PEN,34.63,1,1,1
Lambres-lez-Douai,MACRON,25.39,0,0,1
Lauwin-Planque,LE PEN,34.27,1,1,1
Lauwin-Planque,MACRON,24.56,0,0,1
Lécluse,LE PEN,45.53,1,1,1
Lécluse,MACRON,16.82,0,0,1
Marcq-en-Ostrevent,LE PEN,48.51,1,1,1
Marcq-en-Ostrevent,MACRON,19.4,0,0,1
Monchecourt,LE PEN,47.51,1,1,1
Monchecourt,MÉLENCHON,16.69,0,0,1
Râches,LE PEN,38.22,1,1,1
Râches,MACRON,26.72,0,0,1
Raimbeaucourt,LE PEN,35.65,1,1,1
Raimbeaucourt,MACRON,24.23,0,0,1
Roost-Warendin,LE PEN,41.82,1,1,1
Roost-Warendin,MACRON,19.93,0,0,1
Roucourt,LE PEN,28.9,1,1,1
Roucourt,MACRON,24.25,0,0,1
Villers-au-Tertre,LE PEN,35.1,1,1,1
Villers-au-Tertre,MACRON,22.22,0,0,1
Abancourt,LE PEN,29.64,1,1,1
Abancourt,MACRON,27.69,0,1,0
Anneux,LE PEN,40.54,1,1,1
Anneux,MACRON,33.11,0,1,0
Aubencheul-au-Bac,LE PEN,39.4,1,1,1
Aubencheul-au-Bac,MACRON,23.28,0,0,1
Awoingt,LE PEN,34.38,1,1,1
Awoingt,MACRON,28.29,0,1,0
Banteux,LE PEN,46.11,1,1,1
Banteux,MACRON,16.06,0,0,1
Bantigny,LE PEN,42.28,1,1,1
Bantigny,MACRON,22.15,0,0,1
Bantouzelle,LE PEN,40.18,1,1,1
Bantouzelle,MACRON,19.18,0,0,1
Bazuel,LE PEN,46.42,1,1,1
Bazuel,MACRON,25.94,0,0,1
Beaumont-en-Cambrésis,LE PEN,47.29,1,1,1
Beaumont-en-Cambrésis,MACRON,16.25,0,0,1
Bertry,LE PEN,43.93,1,1,1
Bertry,MACRON,20.62,0,0,1
Blécourt,LE PEN,36.32,1,1,1
Blécourt,MACRON,34.62,0,1,0
Boursies,LE PEN,44.02,1,1,1
Boursies,MACRON,15.31,0,0,1
Busigny,LE PEN,49.96,1,1,1
Busigny,MACRON,20.34,0,0,1
Cagnoncles,LE PEN,42.64,1,1,1
Cagnoncles,MACRON,21.96,0,0,1
Cambrai,LE PEN,32.85,1,1,1
Cambrai,MACRON,26.92,0,0,1
Cantaing-sur-Escaut,LE PEN,43.33,1,1,1
Cantaing-sur-Escaut,MACRON,27.08,0,1,0
Le Cateau-Cambrésis,LE PEN,46.53,1,1,1
Le Cateau-Cambrésis,MACRON,20.95,0,0,1
Catillon-sur-Sambre,LE PEN,38.0,1,1,1
Catillon-sur-Sambre,MACRON,21.78,0,0,1
Caudry,LE PEN,43.44,1,1,1
Caudry,MACRON,20.25,0,0,1
Caullery,LE PEN,51.87,1,1,1
Caullery,MACRON,19.4,0,0,1
Cauroir,LE PEN,33.33,1,1,1
Cauroir,MACRON,27.4,0,1,0
Clary,LE PEN,45.47,1,1,1
Clary,MACRON,22.01,0,0,1
Crèvecoeur-sur-l'Escaut,LE PEN,37.17,1,1,1
Crèvecoeur-sur-l'Escaut,MACRON,23.5,0,0,1
Cuvillers,LE PEN,35.9,1,1,1
Cuvillers,MACRON,25.64,0,0,1
Dehéries,MACRON,51.72,1,1,1
Dehéries,LE PEN,31.03,0,1,0
Doignies,LE PEN,47.11,1,1,1
Doignies,MACRON,23.11,0,0,1
Elincourt,LE PEN,52.33,1,1,1
Elincourt,MACRON,20.93,0,0,1
Escaudoeuvres,LE PEN,37.26,1,1,1
Escaudoeuvres,MACRON,23.64,0,0,1
Esnes,LE PEN,43.4,1,1,1
Esnes,MACRON,21.56,0,0,1
Eswars,LE PEN,36.96,1,1,1
Eswars,MACRON,24.35,0,0,1
Estrun,LE PEN,42.4,1,1,1
Estrun,MACRON,20.05,0,0,1
Flesquières,LE PEN,35.95,1,1,1
Flesquières,MACRON,24.18,0,0,1
Fontaine-Notre-Dame,LE PEN,39.41,1,1,1
Fontaine-Notre-Dame,MACRON,25.15,0,0,1
Fressies,LE PEN,51.43,1,1,1
Fressies,MACRON,18.29,0,0,1
Gonnelieu,LE PEN,47.16,1,1,1
Gonnelieu,MACRON,18.18,0,0,1
Gouzeaucourt,LE PEN,37.36,1,1,1
Gouzeaucourt,MACRON,24.9,0,0,1
La Groise,LE PEN,41.38,1,1,1
La Groise,MACRON,23.75,0,0,1
Haucourt-en-Cambrésis,LE PEN,52.8,1,1,1
Haucourt-en-Cambrésis,MACRON,16.0,0,0,1
Haynecourt,LE PEN,39.53,1,1,1
Haynecourt,MACRON,21.4,0,0,1
Hem-Lenglet,LE PEN,47.27,1,1,1
Hem-Lenglet,MACRON,19.09,0,0,1
Honnechy,LE PEN,57.14,1,1,1
Honnechy,MACRON,11.28,0,0,1
Honnecourt-sur-Escaut,LE PEN,38.03,1,1,1
Honnecourt-sur-Escaut,MACRON,16.49,0,0,1
Inchy,LE PEN,46.61,1,1,1
Inchy,MACRON,20.34,0,0,1
Iwuy,LE PEN,51.64,1,1,1
Iwuy,MACRON,18.48,0,0,1
Lesdain,LE PEN,36.71,1,1,1
Lesdain,MACRON,21.1,0,0,1
Ligny-en-Cambrésis,LE PEN,49.64,1,1,1
Ligny-en-Cambrésis,MACRON,20.84,0,0,1
Malincourt,LE PEN,39.78,1,1,1
Malincourt,MACRON,24.45,0,0,1
Marcoing,LE PEN,42.43,1,1,1
Marcoing,MACRON,19.48,0,0,1
Maretz,LE PEN,50.66,1,1,1
Maretz,MACRON,18.85,0,0,1
Masnières,LE PEN,39.05,1,1,1
Masnières,MACRON,20.89,0,0,1
Maurois,LE PEN,54.11,1,1,1
Maurois,MACRON,23.19,0,0,1
Mazinghien,LE PEN,42.95,1,1,1
Mazinghien,MACRON,17.95,0,0,1
Moeuvres,LE PEN,52.87,1,1,1
Moeuvres,MACRON,17.62,0,0,1
Montay,LE PEN,46.88,1,1,1
Montay,MACRON,18.12,0,0,1
Montigny-en-Cambrésis,LE PEN,39.42,1,1,1
Montigny-en-Cambrésis,MACRON,23.48,0,0,1
Naves,LE PEN,37.44,1,1,1
Naves,MACRON,21.36,0,0,1
Neuville-Saint-Rémy,LE PEN,40.62,1,1,1
Neuville-Saint-Rémy,MACRON,24.21,0,0,1
Neuvilly,LE PEN,50.35,1,1,1
Neuvilly,MACRON,15.14,0,0,1
Niergnies,MACRON,31.59,1,1,1
Niergnies,LE PEN,27.25,0,1,0
Noyelles-sur-Escaut,LE PEN,39.55,1,1,1
Noyelles-sur-Escaut,MACRON,23.73,0,0,1
Ors,LE PEN,36.76,1,1,1
Ors,MACRON,18.51,0,0,1
Paillencourt,LE PEN,39.47,1,1,1
Paillencourt,MACRON,24.54,0,0,1
Pommereuil,LE PEN,51.73,1,1,1
Pommereuil,MACRON,19.06,0,0,1
Proville,LE PEN,32.93,1,1,1
Proville,MACRON,29.62,0,1,0
Raillencourt-Sainte-Olle,LE PEN,37.43,1,1,1
Raillencourt-Sainte-Olle,MACRON,30.23,0,1,0
Ramillies,LE PEN,44.29,1,1,1
Ramillies,MACRON,20.06,0,0,1
Rejet-de-Beaulieu,LE PEN,54.74,1,1,1
Rejet-de-Beaulieu,MACRON,18.25,0,0,1
Reumont,LE PEN,37.07,1,1,1
Reumont,MACRON,23.9,0,0,1
Ribécourt-la-Tour,LE PEN,39.22,1,1,1
Ribécourt-la-Tour,MACRON,27.16,0,1,0
Les Rues-des-Vignes,LE PEN,34.79,1,1,1
Les Rues-des-Vignes,MACRON,25.79,0,0,1
Rumilly-en-Cambrésis,LE PEN,35.56,1,1,1
Rumilly-en-Cambrésis,MACRON,24.77,0,0,1
Sailly-lez-Cambrai,LE PEN,32.6,1,1,1
Sailly-lez-Cambrai,MACRON,28.19,0,1,0
Saint-Benin,LE PEN,37.02,1,1,1
Saint-Benin,MACRON,20.99,0,0,1
Saint-Souplet,LE PEN,50.59,1,1,1
Saint-Souplet,MACRON,16.47,0,0,1
Sancourt,LE PEN,43.22,1,1,1
Sancourt,MACRON,19.49,0,0,1
Séranvillers-Forenville,LE PEN,37.6,1,1,1
Séranvillers-Forenville,MACRON,19.2,0,0,1
Thun-l'Evêque,LE PEN,38.02,1,1,1
Thun-l'Evêque,MACRON,28.35,0,1,0
Thun-Saint-Martin,LE PEN,38.23,1,1,1
Thun-Saint-Martin,MACRON,29.05,0,1,0
Tilloy-lez-Cambrai,MACRON,36.0,1,1,1
Tilloy-lez-Cambrai,LE PEN,28.44,0,1,0
Troisvilles,LE PEN,47.17,1,1,1
Troisvilles,MACRON,16.04,0,0,1
Villers-Guislain,LE PEN,52.56,1,1,1
Villers-Guislain,MACRON,18.6,0,0,1
Villers-Outréaux,LE PEN,41.52,1,1,1
Villers-Outréaux,MACRON,24.0,0,0,1
Villers-Plouich,LE PEN,40.6,1,1,1
Villers-Plouich,MACRON,23.93,0,0,1
Walincourt-Selvigny,LE PEN,45.23,1,1,1
Walincourt-Selvigny,MACRON,22.47,0,0,1
Abscon,LE PEN,49.04,1,1,1
Abscon,MACRON,18.0,0,0,1
Artres,LE PEN,31.18,1,1,1
Artres,MACRON,29.62,0,1,0
Aulnoy-lez-Valenciennes,LE PEN,35.68,1,1,1
Aulnoy-lez-Valenciennes,MACRON,21.73,0,0,1
Avesnes-le-Sec,LE PEN,45.29,1,1,1
Avesnes-le-Sec,MACRON,20.65,0,0,1
Bouchain,LE PEN,46.82,1,1,1
Bouchain,MACRON,17.52,0,0,1
Denain,LE PEN,41.67,1,1,1
Denain,MÉLENCHON,28.59,0,0,1
Douchy-les-Mines,LE PEN,44.63,1,1,1
Douchy-les-Mines,MÉLENCHON,24.4,0,0,1
Emerchicourt,LE PEN,42.24,1,1,1
Emerchicourt,MÉLENCHON,16.31,0,0,1
Escaudain,LE PEN,46.39,1,1,1
Escaudain,MÉLENCHON,21.16,0,0,1
Famars,MACRON,33.92,1,1,1
Famars,LE PEN,24.83,0,0,1
Haspres,LE PEN,43.03,1,1,1
Haspres,MACRON,20.26,0,0,1
Haulchin,LE PEN,44.65,1,1,1
Haulchin,MÉLENCHON,18.12,0,0,1
Haveluy,LE PEN,44.82,1,1,1
Haveluy,MÉLENCHON,25.65,0,0,1
Hélesmes,LE PEN,44.66,1,1,1
Hélesmes,MACRON,20.22,0,0,1
Hérin,LE PEN,42.68,1,1,1
Hérin,MACRON,18.79,0,0,1
Hordain,LE PEN,46.25,1,1,1
Hordain,MACRON,18.34,0,0,1
Lieu-Saint-Amand,LE PEN,46.84,1,1,1
Lieu-Saint-Amand,MACRON,17.72,0,0,1
Lourches,LE PEN,44.21,1,1,1
Lourches,MÉLENCHON,28.94,0,1,0
Maing,LE PEN,31.9,1,1,1
Maing,MACRON,24.83,0,0,1
Marquette-en-Ostrevant,LE PEN,48.77,1,1,1
Marquette-en-Ostrevant,MACRON,18.89,0,0,1
Mastaing,LE PEN,44.14,1,1,1
Mastaing,MACRON,23.24,0,0,1
Monchaux-sur-Ecaillon,LE PEN,34.85,1,1,1
Monchaux-sur-Ecaillon,MACRON,31.06,0,1,0
Neuville-sur-Escaut,LE PEN,45.58,1,1,1
Neuville-sur-Escaut,MACRON,15.67,0,0,1
Noyelles-sur-Selle,LE PEN,46.55,1,1,1
Noyelles-sur-Selle,MACRON,15.6,0,0,1
Oisy,LE PEN,34.32,1,1,1
Oisy,MACRON,26.49,0,1,0
Prouvy,LE PEN,38.65,1,1,1
Prouvy,MACRON,19.01,0,0,1
