commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Lauwin-Planque,DROITE,1,DROITE,1,DROITE,1
Lécluse,DROITE,1,DROITE,1,DROITE,1
Marcq-en-Ostrevent,DROITE,1,DROITE,1,DROITE,1
Monchecourt,DROITE,1,DROITE,1,DROITE,1
Râches,DROITE,1,DROITE,1,DROITE,1
Raimbeaucourt,DROITE,1,DROITE,1,DROITE,1
Roost-Warendin,DROITE,1,DROITE,1,DROITE,1
Roucourt,DROITE,1,DROITE,1,DROITE,1
Villers-au-Tertre,DROITE,1,DROITE,1,DROITE,1
Abancourt,DROITE,1,DROITE,0,CENTRE,0
Anneux,DROITE,1,DROITE,1,DROITE,1
Aubencheul-au-Bac,DROITE,1,DROITE,1,DROITE,1
Awoingt,DROITE,1,DROITE,0,CENTRE,0
Banteux,DROITE,1,DROITE,1,DROITE,1
Bantigny,DROITE,1,DROITE,1,DROITE,1
Bantouzelle,DROITE,1,DROITE,1,DROITE,1
Bazuel,DROITE,1,DROITE,1,DROITE,1
Beaumont-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Bertry,DROITE,1,DROITE,1,DROITE,1
Blécourt,DROITE,1,DROITE,1,DROITE,1
Boursies,DROITE,1,DROITE,1,DROITE,1
Busigny,DROITE,1,DROITE,1,DROITE,1
Cagnoncles,DROITE,1,DROITE,1,DROITE,1
Cambrai,DROITE,1,DROITE,2,GAUCHE,0
Cantaing-sur-Escaut,DROITE,1,DROITE,1,DROITE,1
Le Cateau-Cambrésis,DROITE,1,DROITE,2,GAUCHE,0
Catillon-sur-Sambre,DROITE,1,DROITE,1,DROITE,1
Caudry,DROITE,1,DROITE,2,GAUCHE,0
Caullery,DROITE,1,DROITE,1,DROITE,1
Cauroir,DROITE,1,DROITE,1,DROITE,1
Clary,DROITE,1,DROITE,1,DROITE,1
Crèvecoeur-sur-l'Escaut,DROITE,1,DROITE,1,DROITE,1
Cuvillers,DROITE,1,DROITE,1,DROITE,1
Dehéries,CENTRE,0,CENTRE,1,DROITE,0
Doignies,DROITE,1,DROITE,1,DROITE,1
Elincourt,DROITE,1,DROITE,1,DROITE,1
Escaudoeuvres,DROITE,1,DROITE,1,DROITE,1
Esnes,DROITE,1,DROITE,1,DROITE,1
Eswars,DROITE,1,DROITE,1,DROITE,1
Estrun,DROITE,1,DROITE,0,CENTRE,0
Flesquières,DROITE,1,DROITE,1,DROITE,1
Fontaine-Notre-Dame,DROITE,1,DROITE,1,DROITE,1
Fressies,DROITE,1,DROITE,1,DROITE,1
Gonnelieu,DROITE,1,DROITE,1,DROITE,1
Gouzeaucourt,DROITE,1,DROITE,1,DROITE,1
La Groise,DROITE,1,DROITE,1,DROITE,1
Haucourt-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Haynecourt,DROITE,1,DROITE,1,DROITE,1
Hem-Lenglet,DROITE,1,DROITE,1,DROITE,1
Honnechy,DROITE,1,DROITE,1,DROITE,1
Honnecourt-sur-Escaut,DROITE,1,DROITE,1,DROITE,1
Inchy,DROITE,1,DROITE,1,DROITE,1
Iwuy,DROITE,1,DROITE,1,DROITE,1
Lesdain,DROITE,1,DROITE,1,DROITE,1
Ligny-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Malincourt,DROITE,1,DROITE,1,DROITE,1
Marcoing,DROITE,1,DROITE,1,DROITE,1
Maretz,DROITE,1,DROITE,1,DROITE,1
Masnières,DROITE,1,DROITE,1,DROITE,1
Maurois,DROITE,1,DROITE,1,DROITE,1
Mazinghien,DROITE,1,DROITE,1,DROITE,1
Moeuvres,DROITE,1,DROITE,1,DROITE,1
Montay,DROITE,1,DROITE,1,DROITE,1
Montigny-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Naves,DROITE,1,DROITE,1,DROITE,1
Neuville-Saint-Rémy,DROITE,1,DROITE,1,DROITE,1
Neuvilly,DROITE,1,DROITE,1,DROITE,1
Niergnies,CENTRE,0,CENTRE,1,DROITE,0
Noyelles-sur-Escaut,DROITE,1,DROITE,1,DROITE,1
Ors,DROITE,1,DROITE,1,DROITE,1
Paillencourt,DROITE,1,DROITE,1,DROITE,1
Pommereuil,DROITE,1,DROITE,1,DROITE,1
Proville,DROITE,1,DROITE,1,DROITE,1
Raillencourt-Sainte-Olle,DROITE,1,DROITE,1,DROITE,1
Ramillies,DROITE,1,DROITE,1,DROITE,1
Rejet-de-Beaulieu,DROITE,1,DROITE,1,DROITE,1
Reumont,DROITE,1,DROITE,1,DROITE,1
Ribécourt-la-Tour,DROITE,1,DROITE,1,DROITE,1
Les Rues-des-Vignes,DROITE,1,DROITE,1,DROITE,1
Rumilly-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Sailly-lez-Cambrai,DROITE,1,DROITE,1,DROITE,1
Saint-Benin,DROITE,1,DROITE,1,DROITE,1
Saint-Souplet,DROITE,1,DROITE,1,DROITE,1
Sancourt,DROITE,1,DROITE,1,DROITE,1
Séranvillers-Forenville,DROITE,1,DROITE,1,DROITE,1
Thun-l'Evêque,DROITE,1,DROITE,2,GAUCHE,0
Thun-Saint-Martin,DROITE,1,DROITE,0,CENTRE,0
Tilloy-lez-Cambrai,CENTRE,0,CENTRE,0,CENTRE,1
Troisvilles,DROITE,1,DROITE,1,DROITE,1
