commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Croix,CENTRE,0,CENTRE,0,CENTRE,1
Hem,CENTRE,0,CENTRE,0,CENTRE,1
Lannoy,CENTRE,0,CENTRE,1,DROITE,0
Leers,CENTRE,0,CENTRE,1,DROITE,0
Lys-lez-Lannoy,CENTRE,0,CENTRE,1,DROITE,0
Roubaix,GAUCHE,2,GAUCHE,2,GAUCHE,1
Toufflers,CENTRE,0,CENTRE,1,DROITE,0
Wasquehal,CENTRE,0,CENTRE,0,CENTRE,1
Wattrelos,DROITE,1,DROITE,2,GAUCHE,0
Bondues,CENTRE,0,CENTRE,0,CENTRE,1
Marcq-en-Baroeul,CENTRE,0,CENTRE,0,CENTRE,1
Mouvaux,CENTRE,0,CENTRE,0,CENTRE,1
Tourcoing,GAUCHE,2,GAUCHE,2,GAUCHE,1
Bousbecque,CENTRE,0,CENTRE,1,DROITE,0
Halluin,DROITE,1,DROITE,1,DROITE,1
Linselles,CENTRE,0,CENTRE,0,CENTRE,1
Neuville-en-Ferrain,CENTRE,0,CENTRE,1,DROITE,0
Roncq,CENTRE,0,CENTRE,0,CENTRE,1
Armentières,DROITE,1,DROITE,2,GAUCHE,0
Beaucamps-Ligny,CENTRE,0,CENTRE,0,CENTRE,1
Bois-Grenier,CENTRE,0,CENTRE,0,CENTRE,1
Capinghem,CENTRE,0,CENTRE,0,CENTRE,1
La Chapelle-d'Armentières,CENTRE,0,CENTRE,1,DROITE,0
Englos,CENTRE,0,CENTRE,2,GAUCHE,0
Ennetières-en-Weppes,CENTRE,0,CENTRE,0,CENTRE,1
Erquinghem-le-Sec,CENTRE,0,CENTRE,0,CENTRE,1
Erquinghem-Lys,CENTRE,0,CENTRE,1,DROITE,0
Escobecques,CENTRE,0,CENTRE,0,CENTRE,1
Frelinghien,CENTRE,0,CENTRE,1,DROITE,0
Hallennes-lez-Haubourdin,DROITE,1,DROITE,0,CENTRE,0
Houplines,DROITE,1,DROITE,1,DROITE,1
Le Maisnil,CENTRE,0,CENTRE,0,CENTRE,1
Prémesques,CENTRE,0,CENTRE,0,CENTRE,1
Radinghem-en-Weppes,CENTRE,0,CENTRE,0,CENTRE,1
Sequedin,CENTRE,0,CENTRE,1,DROITE,0
Aulnoye-Aymeries,DROITE,1,DROITE,2,GAUCHE,0
Avesnelles,DROITE,1,DROITE,1,DROITE,1
Avesnes-les-Aubert,DROITE,1,DROITE,1,DROITE,1
Bachant,DROITE,1,DROITE,1,DROITE,1
Beaudignies,DROITE,1,DROITE,1,DROITE,1
Beaufort,DROITE,1,DROITE,1,DROITE,1
Beaurain,DROITE,1,DROITE,1,DROITE,1
Beaurepaire-sur-Sambre,DROITE,1,DROITE,1,DROITE,1
Beauvois-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Berlaimont,DROITE,1,DROITE,1,DROITE,1
Bermerain,DROITE,1,DROITE,1,DROITE,1
Béthencourt,DROITE,1,DROITE,1,DROITE,1
Bévillers,DROITE,1,DROITE,1,DROITE,1
Boulogne-sur-Helpe,CENTRE,0,CENTRE,1,DROITE,0
Bousies,DROITE,1,DROITE,1,DROITE,1
Boussières-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Boussières-sur-Sambre,DROITE,1,DROITE,1,DROITE,1
Briastre,DROITE,1,DROITE,1,DROITE,1
Bry,CENTRE,0,CENTRE,0,CENTRE,1
Capelle,CENTRE,0,CENTRE,1,DROITE,0
Carnières,DROITE,1,DROITE,1,DROITE,1
Cartignies,DROITE,1,DROITE,1,DROITE,1
Cattenières,DROITE,1,DROITE,1,DROITE,1
Croix-Caluyau,DROITE,1,DROITE,1,DROITE,1
Eclaibes,CENTRE,0,CENTRE,1,DROITE,0
Ecuélin,DROITE,1,DROITE,1,DROITE,1
Englefontaine,DROITE,1,DROITE,1,DROITE,1
Escarmain,DROITE,1,DROITE,1,DROITE,1
Estourmel,DROITE,1,DROITE,1,DROITE,1
Eth,DROITE,1,DROITE,0,CENTRE,0
Etroeungt,DROITE,1,DROITE,1,DROITE,1
Le Favril,DROITE,1,DROITE,1,DROITE,1
Floyon,DROITE,1,DROITE,1,DROITE,1
Fontaine-au-Bois,DROITE,1,DROITE,1,DROITE,1
Fontaine-au-Pire,DROITE,1,DROITE,1,DROITE,1
Forest-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Frasnoy,DROITE,1,DROITE,0,CENTRE,0
Ghissignies,CENTRE,0,CENTRE,0,CENTRE,1
Gommegnies,DROITE,1,DROITE,1,DROITE,1
Grand-Fayt,DROITE,1,DROITE,1,DROITE,1
Hargnies,DROITE,1,DROITE,0,CENTRE,0
Haussy,DROITE,1,DROITE,1,DROITE,1
Haut-Lieu,DROITE,1,DROITE,1,DROITE,1
Hautmont,DROITE,1,DROITE,2,GAUCHE,0
Hecq,DROITE,1,DROITE,1,DROITE,1
Jenlain,CENTRE,0,CENTRE,0,CENTRE,1
Jolimetz,CENTRE,0,CENTRE,0,CENTRE,1
Landrecies,DROITE,1,DROITE,1,DROITE,1
Larouillies,DROITE,1,DROITE,1,DROITE,1
Leval,DROITE,1,DROITE,1,DROITE,1
Limont-Fontaine,DROITE,1,DROITE,1,DROITE,1
Locquignol,DROITE,1,DROITE,1,DROITE,1
Louvignies-Quesnoy,DROITE,1,DROITE,1,DROITE,1
Marbaix,DROITE,1,DROITE,1,DROITE,1
Maresches,CENTRE,0,CENTRE,1,DROITE,0
Maroilles,DROITE,1,DROITE,1,DROITE,1
Monceau-Saint-Waast,DROITE,1,DROITE,1,DROITE,1
Montrécourt,DROITE,1,DROITE,1,DROITE,1
Neuf-Mesnil,DROITE,1,DROITE,1,DROITE,1
Neuville-en-Avesnois,DROITE,1,DROITE,1,DROITE,1
Noyelles-sur-Sambre,DROITE,1,DROITE,1,DROITE,1
Orsinval,CENTRE,0,CENTRE,0,CENTRE,1
Petit-Fayt,DROITE,1,DROITE,1,DROITE,1
Poix-du-Nord,DROITE,1,DROITE,1,DROITE,1
Pont-sur-Sambre,DROITE,1,DROITE,1,DROITE,1
Potelle,CENTRE,0,CENTRE,0,CENTRE,1
Preux-au-Bois,DROITE,1,DROITE,1,DROITE,1
Preux-au-Sart,DROITE,1,DROITE,0,CENTRE,0
Prisches,DROITE,1,DROITE,1,DROITE,1
Le Quesnoy,DROITE,1,DROITE,1,DROITE,1
Quiévy,DROITE,1,DROITE,1,DROITE,1
Rainsars,DROITE,1,DROITE,1,DROITE,1
Raucourt-au-Bois,DROITE,1,DROITE,1,DROITE,1
Rieux-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Robersart,DROITE,1,DROITE,0,CENTRE,0
Romeries,DROITE,1,DROITE,1,DROITE,1
Ruesnes,DROITE,1,DROITE,1,DROITE,1
Sains-du-Nord,DROITE,1,DROITE,1,DROITE,1
Saint-Aubert,DROITE,1,DROITE,1,DROITE,1
Saint-Hilaire-lez-Cambrai,DROITE,1,DROITE,1,DROITE,1
Saint-Martin-sur-Ecaillon,CENTRE,0,CENTRE,1,DROITE,0
Saint-Python,DROITE,1,DROITE,1,DROITE,1
Saint-Remy-Chaussée,DROITE,1,DROITE,1,DROITE,1
Saint-Remy-du-Nord,DROITE,1,DROITE,1,DROITE,1
Saint-Vaast-en-Cambrésis,DROITE,1,DROITE,1,DROITE,1
Salesches,DROITE,1,DROITE,1,DROITE,1
Sassegnies,DROITE,1,DROITE,1,DROITE,1
Saulzoir,DROITE,1,DROITE,1,DROITE,1
Sepmeries,DROITE,1,DROITE,1,DROITE,1
Solesmes,DROITE,1,DROITE,1,DROITE,1
Sommaing,DROITE,1,DROITE,0,CENTRE,0
Vendegies-au-Bois,DROITE,1,DROITE,1,DROITE,1
Vendegies-sur-Ecaillon,DROITE,1,DROITE,1,DROITE,1
Vertain,DROITE,1,DROITE,1,DROITE,1
Viesly,DROITE,1,DROITE,1,DROITE,1
Vieux-Mesnil,DROITE,1,DROITE,1,DROITE,1
Villereau,DROITE,1,DROITE,1,DROITE,1
Villers-en-Cauchies,DROITE,1,DROITE,1,DROITE,1
Villers-Pol,CENTRE,0,CENTRE,0,CENTRE,1
Wambaix,DROITE,1,DROITE,0,CENTRE,0
Wargnies-le-Grand,DROITE,1,DROITE,0,CENTRE,0
Wargnies-le-Petit,DROITE,1,DROITE,0,CENTRE,0
Cappelle-la-Grande,DROITE,1,DROITE,1,DROITE,1
Coudekerque-Branche,DROITE,1,DROITE,1,DROITE,1
Dunkerque,DROITE,1,DROITE,2,GAUCHE,0
Grande-Synthe,GAUCHE,2,GAUCHE,2,GAUCHE,1
Téteghem-Coudekerque-Village,CENTRE,0,CENTRE,0,CENTRE,1
Armbouts-Cappel,DROITE,1,DROITE,1,DROITE,1
Bambecque,DROITE,1,DROITE,1,DROITE,1
Bergues,DROITE,1,DROITE,1,DROITE,1
Bierne,DROITE,1,DROITE,1,DROITE,1
Bissezeele,DROITE,1,DROITE,0,CENTRE,0
Bollezeele,DROITE,1,DROITE,1,DROITE,1
Bourbourg,DROITE,1,DROITE,1,DROITE,1
Bray-Dunes,DROITE,1,DROITE,1,DROITE,1
Brouckerque,DROITE,1,DROITE,1,DROITE,1
Broxeele,DROITE,1,DROITE,1,DROITE,1
Cappelle-Brouck,DROITE,1,DROITE,1,DROITE,1
Craywick,DROITE,1,DROITE,1,DROITE,1
Crochte,CENTRE,0,CENTRE,1,DROITE,0
Drincham,DROITE,1,DROITE,1,DROITE,1
Eringhem,DROITE,1,DROITE,1,DROITE,1
Esquelbecq,CENTRE,0,CENTRE,1,DROITE,0
Ghyvelde,DROITE,1,DROITE,1,DROITE,1
Grand-Fort-Philippe,DROITE,1,DROITE,1,DROITE,1
Gravelines,DROITE,1,DROITE,1,DROITE,1
Herzeele,DROITE,1,DROITE,1,DROITE,1
Holque,DROITE,1,DROITE,1,DROITE,1
Hondschoote,DROITE,1,DROITE,1,DROITE,1
Hoymille,DROITE,1,DROITE,1,DROITE,1
Killem,DROITE,1,DROITE,1,DROITE,1
Lederzeele,DROITE,1,DROITE,1,DROITE,1
Ledringhem,DROITE,1,DROITE,1,DROITE,1
Leffrinckoucke,CENTRE,0,CENTRE,1,DROITE,0
Looberghe,DROITE,1,DROITE,1,DROITE,1
Loon-Plage,DROITE,1,DROITE,1,DROITE,1
Merckeghem,DROITE,1,DROITE,1,DROITE,1
Millam,DROITE,1,DROITE,1,DROITE,1
Nieurlet,DROITE,1,DROITE,1,DROITE,1
Oost-Cappel,DROITE,1,DROITE,1,DROITE,1
Pitgam,DROITE,1,DROITE,1,DROITE,1
Quaëdypre,DROITE,1,DROITE,1,DROITE,1
Rexpoëde,DROITE,1,DROITE,1,DROITE,1
Saint-Georges-sur-l'Aa,DROITE,1,DROITE,1,DROITE,1
Saint-Momelin,DROITE,1,DROITE,1,DROITE,1
Saint-Pierre-Brouck,DROITE,1,DROITE,1,DROITE,1
Socx,CENTRE,0,CENTRE,0,CENTRE,1
Spycker,DROITE,1,DROITE,1,DROITE,1
Steene,DROITE,1,DROITE,1,DROITE,1
