commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Aubry-du-Hainaut,LE PEN,27.35,1.0,8.82,23462.0,59.88,12.72,1651.0,27.6,0.0,0
Aubry-du-Hainaut,MACRON,23.13,0.0,8.82,23462.0,59.88,12.72,1651.0,34.4,1.0,1
Auby,LE PEN,37.32,1.0,25.66,16623.0,56.47,44.61,7285.0,38.82,1.0,1
Auby,MÉLENCHON,33.53,0.0,25.66,16623.0,56.47,44.61,7285.0,32.58,0.0,0
Auchy-lez-Orchies,FILLON,29.78,1.0,6.8,24980.0,60.63,16.32,1532.0,0.0,0.0,0
Auchy-lez-Orchies,LE PEN,23.11,0.0,6.8,24980.0,60.63,16.32,1532.0,24.01,0.0,0
Auchy-lez-Orchies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85,1.0,1
Audignies,FILLON,23.95,0.0,2.5,23086.0,54.62,0.0,357.0,0.0,0.0,0
Audignies,LE PEN,39.92,1.0,2.5,23086.0,54.62,0.0,357.0,41.07,1.0,1
Audignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0
Aulnoy-lez-Valenciennes,LE PEN,34.01,1.0,19.65,17953.0,54.93,48.52,7316.0,35.68,1.0,1
Aulnoy-lez-Valenciennes,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,0.0,0
Aulnoy-lez-Valenciennes,MÉLENCHON,22.67,0.0,19.65,17953.0,54.93,48.52,7316.0,0.0,0.0,0
Aulnoye-Aymeries,LE PEN,33.74,1.0,26.66,16545.0,48.99,39.18,8856.0,37.33,1.0,1
Aulnoye-Aymeries,MÉLENCHON,31.54,0.0,26.66,16545.0,48.99,39.18,8856.0,21.27,0.0,0
Avelin,FILLON,28.98,1.0,7.17,27384.0,62.56,23.3,2704.0,0.0,0.0,0
Avelin,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.58,0.0,0
Avelin,MACRON,25.11,0.0,7.17,27384.0,62.56,23.3,2704.0,41.56,1.0,1
Avesnelles,LE PEN,31.9,1.0,19.76,18500.0,57.71,19.23,2496.0,36.32,1.0,1
Avesnelles,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.43,0.0,0
Avesnelles,MÉLENCHON,20.04,0.0,19.76,18500.0,57.71,19.23,2496.0,0.0,0.0,0
Avesnes-le-Sec,LE PEN,40.16,1.0,14.0,20382.0,50.24,0.0,1470.0,45.29,1.0,1
Avesnes-le-Sec,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.65,0.0,0
Avesnes-le-Sec,MÉLENCHON,22.16,0.0,14.0,20382.0,50.24,0.0,1470.0,0.0,0.0,0
Avesnes-les-Aubert,LE PEN,40.52,1.0,22.52,17599.0,52.16,34.12,3634.0,45.88,1.0,1
Avesnes-les-Aubert,MÉLENCHON,27.97,0.0,22.52,17599.0,52.16,34.12,3634.0,15.15,0.0,0
Avesnes-sur-Helpe,LE PEN,29.26,1.0,35.22,14204.0,61.21,52.0,4654.0,33.3,1.0,1
Avesnes-sur-Helpe,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18,0.0,0
Avesnes-sur-Helpe,MÉLENCHON,22.58,0.0,35.22,14204.0,61.21,52.0,4654.0,0.0,0.0,0
Awoingt,LE PEN,29.59,1.0,9.89,22664.0,57.21,0.0,844.0,34.38,1.0,1
Awoingt,MACRON,25.1,0.0,9.89,22664.0,57.21,0.0,844.0,28.29,0.0,0
Bachant,LE PEN,40.97,1.0,22.2,17569.0,47.58,18.85,2334.0,44.64,1.0,1
Bachant,MÉLENCHON,26.73,0.0,22.2,17569.0,47.58,18.85,2334.0,19.24,0.0,0
Bachy,FILLON,23.39,0.0,8.43,24915.0,61.97,6.51,1690.0,0.0,0.0,0
Bachy,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07,0.0,0
Bachy,MACRON,26.89,1.0,8.43,24915.0,61.97,6.51,1690.0,37.68,1.0,1
Bailleul,LE PEN,29.02,1.0,13.19,20994.0,57.6,36.43,14467.0,31.0,1.0,1
Bailleul,MACRON,20.53,0.0,13.19,20994.0,57.6,36.43,14467.0,28.99,0.0,0
Baisieux,FILLON,23.12,0.0,5.56,24511.0,62.82,30.53,4750.0,0.0,0.0,0
Baisieux,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0
Baisieux,MACRON,25.38,1.0,5.56,24511.0,62.82,30.53,4750.0,38.05,1.0,1
Baives,FILLON,14.86,0.0,15.79,18107.0,58.97,0.0,165.0,0.0,0.0,0
Baives,LE PEN,47.3,1.0,15.79,18107.0,58.97,0.0,165.0,38.6,1.0,1
Baives,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82,0.0,0
Bambecque,FILLON,22.43,0.0,15.71,19319.0,55.69,0.0,741.0,0.0,0.0,0
Bambecque,LE PEN,35.43,1.0,15.71,19319.0,55.69,0.0,741.0,37.68,1.0,1
Bambecque,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.0,0
Banteux,FILLON,18.36,0.0,21.43,18327.0,49.42,0.0,341.0,0.0,0.0,0
