commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Bray-Dunes,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0
Briastre,LE PEN,38.52,1.0,16.67,18489.0,56.04,0.0,743.0,42.3,1.0,1
Briastre,MÉLENCHON,25.36,0.0,16.67,18489.0,56.04,0.0,743.0,20.54,0.0,0
Brillon,FILLON,28.91,1.0,12.08,23685.0,63.49,0.0,721.0,0.0,0.0,0
Brillon,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06,0.0,0
Brillon,MACRON,24.95,0.0,12.08,23685.0,63.49,0.0,721.0,28.87,1.0,1
Brouckerque,FILLON,19.72,0.0,8.33,24265.0,50.36,0.0,1356.0,0.0,0.0,0
Brouckerque,LE PEN,36.01,1.0,8.33,24265.0,50.36,0.0,1356.0,33.98,1.0,1
Brouckerque,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09,0.0,0
Broxeele,FILLON,18.57,0.0,5.13,21393.0,45.71,0.0,385.0,0.0,0.0,0
Broxeele,LE PEN,36.67,1.0,5.13,21393.0,45.71,0.0,385.0,42.49,1.0,1
Broxeele,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,0.0,0
Bruay-sur-l'Escaut,LE PEN,46.24,1.0,25.43,15578.0,52.57,53.62,11638.0,46.63,1.0,1
Bruay-sur-l'Escaut,MÉLENCHON,20.93,0.0,25.43,15578.0,52.57,53.62,11638.0,18.97,0.0,0
Bruille-Saint-Amand,LE PEN,37.7,1.0,14.37,21565.0,57.28,11.36,1673.0,34.82,1.0,1
Bruille-Saint-Amand,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28,0.0,0
Bruille-Saint-Amand,MÉLENCHON,18.37,0.0,14.37,21565.0,57.28,11.36,1673.0,0.0,0.0,0
Bruille-lez-Marchiennes,LE PEN,32.62,0.0,12.9,18582.0,47.97,17.36,1325.0,38.28,1.0,1
Bruille-lez-Marchiennes,MÉLENCHON,33.82,1.0,12.9,18582.0,47.97,17.36,1325.0,0.0,0.0,0
Bruille-lez-Marchiennes,ROUSSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.13,0.0,0
Brunémont,LE PEN,44.78,1.0,16.39,20381.0,53.17,0.0,712.0,48.48,1.0,1
Brunémont,MACRON,15.52,0.0,16.39,20381.0,53.17,0.0,712.0,17.77,0.0,0
Bry,FILLON,28.19,1.0,9.38,24696.0,64.69,0.0,415.0,0.0,0.0,0
Bry,LE PEN,23.17,0.0,9.38,24696.0,64.69,0.0,415.0,24.08,0.0,0
Bry,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.92,1.0,1
Bugnicourt,LE PEN,38.5,1.0,13.98,20162.0,51.71,8.06,993.0,43.26,1.0,1
Bugnicourt,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0
Bugnicourt,MÉLENCHON,18.53,0.0,13.98,20162.0,51.71,8.06,993.0,0.0,0.0,0
Busigny,LE PEN,44.09,1.0,24.27,16755.0,54.48,11.25,2488.0,49.96,1.0,1
Busigny,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34,0.0,0
Busigny,MÉLENCHON,14.32,0.0,24.27,16755.0,54.48,11.25,2488.0,0.0,0.0,0
Buysscheure,FILLON,21.67,0.0,10.2,20104.0,53.3,0.0,580.0,0.0,0.0,0
Buysscheure,LE PEN,31.39,1.0,10.2,20104.0,53.3,0.0,580.0,33.14,1.0,1
Buysscheure,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33,0.0,0
Bérelles,LE PEN,33.75,1.0,18.18,22968.0,50.0,0.0,149.0,42.22,1.0,1
Bérelles,MACRON,20.0,0.0,18.18,22968.0,50.0,0.0,149.0,0.0,0.0,0
Bérelles,ZEMMOUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89,0.0,0
Béthencourt,FILLON,20.99,0.0,11.27,19347.0,51.97,17.36,749.0,0.0,0.0,0
Béthencourt,LE PEN,39.28,1.0,11.27,19347.0,51.97,17.36,749.0,45.26,1.0,1
Béthencourt,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.91,0.0,0
Bévillers,FILLON,18.11,0.0,12.96,19502.0,55.3,0.0,556.0,0.0,0.0,0
Bévillers,LE PEN,38.44,1.0,12.96,19502.0,55.3,0.0,556.0,45.09,1.0,1
Bévillers,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,0.0,0
Cagnoncles,FILLON,15.88,0.0,7.01,21550.0,59.92,0.0,607.0,0.0,0.0,0
Cagnoncles,LE PEN,42.62,1.0,7.01,21550.0,59.92,0.0,607.0,42.64,1.0,1
Cagnoncles,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96,0.0,0
Cambrai,FILLON,20.22,0.0,24.27,17703.0,57.86,52.19,32668.0,0.0,0.0,0
Cambrai,LE PEN,28.5,1.0,24.27,17703.0,57.86,52.19,32668.0,32.85,1.0,1
Cambrai,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92,0.0,0
Camphin-en-Carembault,LE PEN,25.07,1.0,5.23,24121.0,56.29,13.97,1646.0,26.53,0.0,0
Camphin-en-Carembault,MACRON,23.53,0.0,5.23,24121.0,56.29,13.97,1646.0,34.4,1.0,1
Camphin-en-Pévèle,FILLON,31.93,1.0,7.2,26207.0,65.67,16.5,2363.0,0.0,0.0,0
Camphin-en-Pévèle,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02,0.0,0
Camphin-en-Pévèle,MACRON,24.57,0.0,7.2,26207.0,65.67,16.5,2363.0,40.52,1.0,1
Cantaing-sur-Escaut,FILLON,19.78,0.0,7.14,21842.0,51.3,0.0,397.0,0.0,0.0,0
Cantaing-sur-Escaut,LE PEN,35.45,1.0,7.14,21842.0,51.3,0.0,397.0,43.33,1.0,1
Cantaing-sur-Escaut,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08,0.0,0
Cantin,LE PEN,38.04,1.0,14.17,20502.0,52.4,7.75,1549.0,41.61,1.0,1
Cantin,MACRON,18.58,0.0,14.17,20502.0,52.4,7.75,1549.0,24.6,0.0,0
Capelle,LE PEN,27.93,1.0,10.53,22654.0,57.14,0.0,156.0,26.21,0.0,0
Capelle,MACRON,19.82,0.0,10.53,22654.0,57.14,0.0,156.0,27.18,1.0,1
Capinghem,FILLON,29.15,1.0,11.5,24556.0,66.94,50.33,2424.0,0.0,0.0,0
Capinghem,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05,0.0,0
Capinghem,MACRON,24.88,0.0,11.5,24556.0,66.94,50.33,2424.0,38.19,1.0,1
Cappelle-Brouck,FILLON,17.58,0.0,13.06,20261.0,54.56,0.0,1174.0,0.0,0.0,0
Cappelle-Brouck,LE PEN,36.35,1.0,13.06,20261.0,54.56,0.0,1174.0,35.2,1.0,1
Cappelle-Brouck,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.57,0.0,0
Cappelle-en-Pévèle,LE PEN,23.15,0.0,7.62,24139.0,61.48,16.57,2233.0,24.17,0.0,0
Cappelle-en-Pévèle,MACRON,24.38,1.0,7.62,24139.0,61.48,16.57,2233.0,36.47,1.0,1
Cappelle-la-Grande,LE PEN,41.53,1.0,16.98,18696.0,53.37,21.3,7888.0,43.16,1.0,1
Cappelle-la-Grande,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76,0.0,0
Cappelle-la-Grande,MÉLENCHON,21.29,0.0,16.98,18696.0,53.37,21.3,7888.0,0.0,0.0,0
Carnin,LE PEN,25.12,1.0,2.02,24873.0,60.0,0.0,988.0,30.57,0.0,0
Carnin,MACRON,23.57,0.0,2.02,24873.0,60.0,0.0,988.0,33.57,1.0,1
Carnières,LE PEN,42.2,1.0,13.24,20402.0,55.56,14.55,1100.0,49.32,1.0,1
Carnières,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15,0.0,0
Carnières,MÉLENCHON,16.58,0.0,13.24,20402.0,55.56,14.55,1100.0,0.0,0.0,0
Cartignies,FILLON,23.44,0.0,13.89,18798.0,53.03,0.0,1262.0,0.0,0.0,0
Cartignies,LE PEN,35.95,1.0,13.89,18798.0,53.03,0.0,1262.0,38.81,1.0,1
Cartignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,0
Cassel,FILLON,25.05,1.0,10.58,21034.0,61.77,15.21,2301.0,0.0,0.0,0
Cassel,LE PEN,22.42,0.0,10.58,21034.0,61.77,15.21,2301.0,23.1,0.0,0
Cassel,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.01,1.0,1
Catillon-sur-Sambre,FILLON,19.41,0.0,20.3,17801.0,55.96,6.0,834.0,0.0,0.0,0
Catillon-sur-Sambre,LE PEN,34.18,1.0,20.3,17801.0,55.96,6.0,834.0,38.0,1.0,1
Catillon-sur-Sambre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78,0.0,0
Cattenières,FILLON,18.89,0.0,13.33,20233.0,50.41,0.0,673.0,0.0,0.0,0
Cattenières,LE PEN,39.47,1.0,13.33,20233.0,50.41,0.0,673.0,44.7,1.0,1
Cattenières,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42,0.0,0
Caudry,LE PEN,35.77,1.0,28.32,16181.0,57.95,55.68,14493.0,43.44,1.0,1
Caudry,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0
Caudry,MÉLENCHON,19.53,0.0,28.32,16181.0,57.95,55.68,14493.0,0.0,0.0,0
Caullery,LE PEN,44.6,1.0,24.44,18508.0,55.59,0.0,448.0,51.87,1.0,1
Caullery,MACRON,16.91,0.0,24.44,18508.0,55.59,0.0,448.0,19.4,0.0,0
Cauroir,LE PEN,31.75,1.0,10.0,20162.0,54.24,0.0,578.0,33.33,1.0,1
Cauroir,MACRON,19.5,0.0,10.0,20162.0,54.24,0.0,578.0,27.4,0.0,0
Caëstre,FILLON,24.98,0.0,9.45,22022.0,57.21,8.18,1957.0,0.0,0.0,0
Caëstre,LE PEN,26.97,1.0,9.45,22022.0,57.21,8.18,1957.0,32.02,1.0,1
Caëstre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.85,0.0,0
Cerfontaine,LE PEN,47.42,1.0,14.67,20633.0,45.7,0.0,669.0,43.88,1.0,1
Cerfontaine,MACRON,14.99,0.0,14.67,20633.0,45.7,0.0,669.0,23.67,0.0,0
Chemy,FILLON,26.32,1.0,5.71,26168.0,56.83,0.0,769.0,0.0,0.0,0
Chemy,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,0
Chemy,MACRON,21.05,0.0,5.71,26168.0,56.83,0.0,769.0,37.36,1.0,1
Choisies,FILLON,51.16,1.0,25.0,20770.0,48.84,0.0,53.0,0.0,0.0,0
Choisies,LE PEN,16.28,0.0,25.0,20770.0,48.84,0.0,53.0,28.95,1.0,1
Choisies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,0.0,0
Château-l'Abbaye,FILLON,22.27,0.0,7.7,22965.0,55.34,0.0,884.0,0.0,0.0,0
Château-l'Abbaye,LE PEN,31.13,1.0,7.7,22965.0,55.34,0.0,884.0,28.57,1.0,1
Château-l'Abbaye,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.66,0.0,0
Chéreng,FILLON,27.89,1.0,8.01,27167.0,64.0,16.73,2989.0,0.0,0.0,0
Chéreng,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82,0.0,0
Chéreng,MACRON,27.79,0.0,8.01,27167.0,64.0,16.73,2989.0,42.12,1.0,1
Clairfayts,LE PEN,37.78,1.0,20.19,19517.0,48.33,0.0,376.0,44.44,1.0,1
Clairfayts,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05,0.0,0
Clairfayts,MÉLENCHON,21.67,0.0,20.19,19517.0,48.33,0.0,376.0,0.0,0.0,0
Clary,FILLON,17.83,0.0,12.73,19841.0,54.65,7.24,1105.0,0.0,0.0,0
Clary,LE PEN,41.23,1.0,12.73,19841.0,54.65,7.24,1105.0,45.47,1.0,1
Clary,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.01,0.0,0
Cobrieux,FILLON,30.53,1.0,9.26,29109.0,66.93,0.0,525.0,0.0,0.0,0
Cobrieux,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,0.0,0
Cobrieux,MACRON,27.63,0.0,9.26,29109.0,66.93,0.0,525.0,41.84,1.0,1
Colleret,FILLON,16.86,0.0,18.79,20333.0,49.79,12.35,1620.0,0.0,0.0,0
Colleret,LE PEN,43.86,1.0,18.79,20333.0,49.79,12.35,1620.0,46.04,1.0,1
Colleret,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74,0.0,0
Comines,LE PEN,31.38,1.0,13.37,20252.0,58.66,34.93,12369.0,31.56,1.0,1
Comines,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.79,0.0,0
Comines,MÉLENCHON,19.64,0.0,13.37,20252.0,58.66,34.93,12369.0,0.0,0.0,0
Condé-sur-l'Escaut,LE PEN,35.51,1.0,31.4,14914.0,59.35,53.2,9680.0,36.3,1.0,1
Condé-sur-l'Escaut,MÉLENCHON,27.11,0.0,31.4,14914.0,59.35,53.2,9680.0,28.1,0.0,0
Coudekerque-Branche,LE PEN,34.16,1.0,17.31,18897.0,54.71,40.09,21204.0,36.71,1.0,1
Coudekerque-Branche,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,0.0,0
Coudekerque-Branche,MÉLENCHON,22.59,0.0,17.31,18897.0,54.71,40.09,21204.0,0.0,0.0,0
Courchelettes,LE PEN,38.59,1.0,16.22,19268.0,54.29,11.77,2804.0,42.34,1.0,1
Courchelettes,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.17,0.0,0
Courchelettes,MÉLENCHON,19.67,0.0,16.22,19268.0,54.29,11.77,2804.0,0.0,0.0,0
Cousolre,FILLON,17.27,0.0,20.45,18308.0,53.48,13.98,2289.0,0.0,0.0,0
Cousolre,LE PEN,43.52,1.0,20.45,18308.0,53.48,13.98,2289.0,42.32,1.0,1
Cousolre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.86,0.0,0
Coutiches,LE PEN,26.75,1.0,7.0,24762.0,60.52,15.0,3001.0,28.47,0.0,0
Coutiches,MACRON,24.45,0.0,7.0,24762.0,60.52,15.0,3001.0,31.93,1.0,1
Craywick,LE PEN,42.74,1.0,7.69,20070.0,48.42,8.44,711.0,44.63,1.0,1
Craywick,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0
Craywick,MÉLENCHON,20.97,0.0,7.69,20070.0,48.42,8.44,711.0,0.0,0.0,0
Crespin,LE PEN,38.71,1.0,25.0,16717.0,53.35,33.84,4551.0,42.16,1.0,1
Crespin,MÉLENCHON,22.57,0.0,25.0,16717.0,53.35,33.84,4551.0,20.61,0.0,0
Crochte,LE PEN,26.1,0.0,7.35,24016.0,54.91,0.0,669.0,26.09,0.0,0
Crochte,MACRON,26.54,1.0,7.35,24016.0,54.91,0.0,669.0,31.4,1.0,1
Croix,FILLON,25.94,1.0,14.56,20899.0,67.26,57.73,21271.0,0.0,0.0,0
Croix,MACRON,23.04,0.0,14.56,20899.0,67.26,57.73,21271.0,32.51,1.0,1
Croix,MÉLENCHON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,0
Croix-Caluyau,FILLON,26.0,0.0,7.14,20968.0,57.07,0.0,262.0,0.0,0.0,0
Croix-Caluyau,LE PEN,40.0,1.0,7.14,20968.0,57.07,0.0,262.0,40.79,1.0,1
Croix-Caluyau,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.66,0.0,0
Crèvecoeur-sur-l'Escaut,FILLON,21.74,0.0,20.63,21848.0,56.18,0.0,740.0,0.0,0.0,0
Crèvecoeur-sur-l'Escaut,LE PEN,31.52,1.0,20.63,21848.0,56.18,0.0,740.0,37.17,1.0,1
Crèvecoeur-sur-l'Escaut,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0
Cuincy,LE PEN,26.89,1.0,17.54,21071.0,53.85,31.61,6454.0,30.38,1.0,1
Cuincy,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.44,0.0,0
Cuincy,MÉLENCHON,23.26,0.0,17.54,21071.0,53.85,31.61,6454.0,0.0,0.0,0
Curgies,LE PEN,28.48,1.0,10.56,24243.0,59.4,0.0,1159.0,28.78,0.0,0
Curgies,MACRON,24.45,0.0,10.56,24243.0,59.4,0.0,1159.0,33.5,1.0,1
Cuvillers,FILLON,27.21,0.0,4.17,21537.0,50.34,0.0,198.0,0.0,0.0,0
Cuvillers,LE PEN,33.09,1.0,4.17,21537.0,50.34,0.0,198.0,35.9,1.0,1
Cuvillers,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,0.0,0
Cysoing,FILLON,24.5,0.0,7.83,24619.0,65.7,26.62,5033.0,0.0,0.0,0
Cysoing,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.21,0.0,0
Cysoing,MACRON,26.68,1.0,7.83,24619.0,65.7,26.62,5033.0,37.11,1.0,1
Damousies,FILLON,32.35,1.0,4.55,20359.0,46.39,0.0,197.0,0.0,0.0,0
Damousies,LE PEN,29.41,0.0,4.55,20359.0,46.39,0.0,197.0,39.02,1.0,1
Damousies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.08,0.0,0
Dechy,LE PEN,38.96,1.0,19.07,16573.0,54.06,37.87,5307.0,43.27,1.0,1
Dechy,MÉLENCHON,29.19,0.0,19.07,16573.0,54.06,37.87,5307.0,24.36,0.0,0
Dehéries,FILLON,22.58,0.0,12.73,20770.0,53.57,0.0,40.0,0.0,0.0,0
Dehéries,LE PEN,54.84,1.0,12.73,20770.0,53.57,0.0,40.0,31.03,0.0,0
Dehéries,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72,1.0,1
Denain,LE PEN,40.03,1.0,36.14,13328.0,57.82,80.75,19714.0,41.67,1.0,1
Denain,MÉLENCHON,25.7,0.0,36.14,13328.0,57.82,80.75,19714.0,28.59,0.0,0
Deûlémont,FILLON,29.5,1.0,10.12,23964.0,58.17,31.55,1680.0,0.0,0.0,0
Deûlémont,LE PEN,27.72,0.0,10.12,23964.0,58.17,31.55,1680.0,27.45,0.0,0
Deûlémont,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.74,1.0,1
Dimechaux,FILLON,27.32,1.0,12.73,20804.0,54.25,0.0,351.0,0.0,0.0,0
Dimechaux,LE PEN,26.8,0.0,12.73,20804.0,54.25,0.0,351.0,35.16,1.0,1
Dimechaux,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47,0.0,0
Dimont,LE PEN,26.49,1.0,11.54,20869.0,50.42,0.0,318.0,26.32,0.0,0
Dimont,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68,1.0,1
Dimont,MÉLENCHON,22.16,0.0,11.54,20869.0,50.42,0.0,318.0,0.0,0.0,0
Doignies,FILLON,20.27,0.0,13.51,19266.0,50.85,0.0,337.0,0.0,0.0,0
Doignies,LE PEN,41.89,1.0,13.51,19266.0,50.85,0.0,337.0,47.11,1.0,1
Doignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11,0.0,0
Dompierre-sur-Helpe,LE PEN,31.9,1.0,7.35,19588.0,51.6,8.09,865.0,38.31,1.0,1
Dompierre-sur-Helpe,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,0.0,0
Dompierre-sur-Helpe,MÉLENCHON,18.66,0.0,7.35,19588.0,51.6,8.09,865.0,0.0,0.0,0
Don,LE PEN,26.7,1.0,9.27,22679.0,56.47,6.89,1307.0,29.38,0.0,0
Don,MACRON,22.65,0.0,9.27,22679.0,56.47,6.89,1307.0,30.11,1.0,1
Douai,LE PEN,26.89,1.0,24.04,17077.0,58.66,75.02,39657.0,28.07,1.0,1
Douai,MÉLENCHON,23.71,0.0,24.04,17077.0,58.66,75.02,39657.0,27.3,0.0,0
Douchy-les-Mines,LE PEN,41.79,1.0,22.48,15962.0,49.59,34.62,10717.0,44.63,1.0,1
Douchy-les-Mines,MÉLENCHON,28.08,0.0,22.48,15962.0,49.59,34.62,10717.0,24.4,0.0,0
Dourlers,FILLON,21.83,0.0,12.73,21600.0,53.92,0.0,585.0,0.0,0.0,0
Dourlers,LE PEN,33.04,1.0,12.73,21600.0,53.92,0.0,585.0,33.96,1.0,1
Dourlers,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28,0.0,0
Drincham,LE PEN,32.56,1.0,16.67,20238.0,45.88,0.0,250.0,31.65,1.0,1
Drincham,MACRON,21.51,0.0,16.67,20238.0,45.88,0.0,250.0,22.15,0.0,0
Dunkerque,LE PEN,29.82,1.0,21.19,18366.0,57.92,60.95,88108.0,32.4,1.0,1
Dunkerque,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77,0.0,0
Dunkerque,MÉLENCHON,22.58,0.0,21.19,18366.0,57.92,60.95,88108.0,0.0,0.0,0
Ebblinghem,LE PEN,38.54,1.0,4.92,20715.0,53.29,0.0,681.0,38.13,1.0,1
Ebblinghem,MACRON,16.34,0.0,4.92,20715.0,53.29,0.0,681.0,25.07,0.0,0
Ecaillon,LE PEN,39.46,1.0,20.55,16967.0,54.02,8.24,1942.0,44.22,1.0,1
Ecaillon,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,0.0,0
Ecaillon,MÉLENCHON,24.59,0.0,20.55,16967.0,54.02,8.24,1942.0,0.0,0.0,0
Eccles,FILLON,29.85,0.0,12.73,20770.0,62.32,0.0,86.0,0.0,0.0,0
Eccles,LE PEN,29.85,1.0,12.73,20770.0,62.32,0.0,86.0,26.53,1.0,1
Eccles,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33,0.0,0
Eclaibes,FILLON,25.52,0.0,7.14,22359.0,55.46,0.0,304.0,0.0,0.0,0
Eclaibes,LE PEN,29.17,1.0,7.14,22359.0,55.46,0.0,304.0,30.65,0.0,0
Eclaibes,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26,1.0,1
Ecuélin,LE PEN,35.44,1.0,7.69,22994.0,38.46,0.0,143.0,48.61,1.0,1
Ecuélin,MACRON,20.25,0.0,7.69,22994.0,38.46,0.0,143.0,18.06,0.0,0
Eecke,FILLON,23.63,0.0,9.0,23393.0,58.73,0.0,1221.0,0.0,0.0,0
Eecke,LE PEN,27.9,1.0,9.0,23393.0,58.73,0.0,1221.0,29.83,1.0,1
Eecke,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0
Elesmes,LE PEN,31.58,1.0,6.74,24397.0,52.52,0.0,983.0,37.39,1.0,1
Elesmes,MACRON,23.6,0.0,6.74,24397.0,52.52,0.0,983.0,25.04,0.0,0
Elincourt,LE PEN,49.87,1.0,14.75,17517.0,55.6,0.0,627.0,52.33,1.0,1
Elincourt,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,0.0,0
Elincourt,MÉLENCHON,15.73,0.0,14.75,17517.0,55.6,0.0,627.0,0.0,0.0,0
Emerchicourt,LE PEN,40.75,1.0,9.6,20315.0,51.44,5.69,879.0,42.24,1.0,1
Emerchicourt,MÉLENCHON,24.11,0.0,9.6,20315.0,51.44,5.69,879.0,16.31,0.0,0
Emmerin,LE PEN,21.82,0.0,8.39,24285.0,59.29,25.83,3174.0,21.15,0.0,0
Emmerin,MACRON,24.23,1.0,8.39,24285.0,59.29,25.83,3174.0,34.06,1.0,1
Englefontaine,LE PEN,36.86,1.0,19.01,18232.0,56.93,5.36,1307.0,38.03,1.0,1
Englefontaine,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,0.0,0
Englefontaine,MÉLENCHON,18.29,0.0,19.01,18232.0,56.93,5.36,1307.0,0.0,0.0,0
Englos,FILLON,29.87,1.0,11.11,27692.0,62.5,798.68,606.0,0.0,0.0,0
Englos,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09,0.0,0
Englos,MACRON,26.75,0.0,11.11,27692.0,62.5,798.68,606.0,42.89,1.0,1
Ennetières-en-Weppes,FILLON,37.53,1.0,7.76,27159.0,66.32,37.99,1316.0,0.0,0.0,0
Ennetières-en-Weppes,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0
Ennetières-en-Weppes,MACRON,25.49,0.0,7.76,27159.0,66.32,37.99,1316.0,43.38,1.0,1
Ennevelin,FILLON,27.39,1.0,8.18,26463.0,61.98,6.86,2186.0,0.0,0.0,0
Ennevelin,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,0.0,0
Ennevelin,MACRON,25.46,0.0,8.18,26463.0,61.98,6.86,2186.0,35.96,1.0,1
Eppe-Sauvage,FILLON,24.32,0.0,10.53,20918.0,54.64,32.73,275.0,0.0,0.0,0
Eppe-Sauvage,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,1.0,1
Eppe-Sauvage,MÉLENCHON,25.23,1.0,10.53,20918.0,54.64,32.73,275.0,21.43,0.0,0
Erchin,FILLON,19.92,0.0,9.04,23305.0,51.91,0.0,695.0,0.0,0.0,0
Erchin,LE PEN,31.01,1.0,9.04,23305.0,51.91,0.0,695.0,28.51,0.0,0
Erchin,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.95,1.0,1
Eringhem,FILLON,23.55,0.0,17.07,19891.0,52.56,0.0,473.0,0.0,0.0,0
Eringhem,LE PEN,40.94,1.0,17.07,19891.0,52.56,0.0,473.0,42.12,1.0,1
Eringhem,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.89,0.0,0
Erquinghem-Lys,LE PEN,27.94,1.0,9.69,20912.0,56.59,30.51,5081.0,29.87,0.0,0
Erquinghem-Lys,MACRON,21.18,0.0,9.69,20912.0,56.59,30.51,5081.0,31.33,1.0,1
Erquinghem-le-Sec,FILLON,33.42,1.0,10.93,26198.0,66.16,0.0,590.0,0.0,0.0,0
Erquinghem-le-Sec,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.63,0.0,0
Erquinghem-le-Sec,MACRON,25.21,0.0,10.93,26198.0,66.16,0.0,590.0,40.53,1.0,1
Erre,LE PEN,38.82,1.0,18.45,20138.0,54.92,8.78,1594.0,41.12,1.0,1
Erre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77,0.0,0
Erre,MÉLENCHON,23.57,0.0,18.45,20138.0,54.92,8.78,1594.0,0.0,0.0,0
Escarmain,FILLON,18.06,0.0,14.63,20937.0,52.2,0.0,469.0,0.0,0.0,0
Escarmain,LE PEN,37.74,1.0,14.63,20937.0,52.2,0.0,469.0,39.16,1.0,1
Escarmain,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77,0.0,0
Escaudain,LE PEN,43.99,1.0,27.7,15365.0,52.97,42.87,9588.0,46.39,1.0,1
Escaudain,MÉLENCHON,25.81,0.0,27.7,15365.0,52.97,42.87,9588.0,21.16,0.0,0
