code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59115,Brunémont,31,59,3,1,677,6,683,2011
59116,Bry,31,59,1,50,389,3,392,2011
59117,Bugnicourt,31,59,3,1,941,16,957,2011
59118,Busigny,31,59,2,18,2566,34,2600,2011
59119,Buysscheure,31,59,4,16,517,13,530,2011
59120,Caëstre,31,59,4,29,1859,36,1895,2011
59121,Cagnoncles,31,59,2,13,567,12,579,2011
59122,Cambrai,31,59,2,88,32770,759,33529,2011
59123,Camphin-en-Carembault,31,59,5,57,1618,24,1642,2011
59124,Camphin-en-Pévèle,31,59,5,20,2115,34,2149,2011
59125,Cantaing-sur-Escaut,31,59,2,43,417,11,428,2011
59126,Cantin,31,59,3,1,1474,18,1492,2011
59127,Capelle,31,59,2,58,161,2,163,2011
59128,Capinghem,31,59,5,2,1645,26,1671,2011
59130,Cappelle-Brouck,31,59,4,12,1140,19,1159,2011
59129,Cappelle-en-Pévèle,31,59,5,20,2209,33,2242,2011
59131,Cappelle-la-Grande,31,59,4,26,8096,87,8183,2011
59132,Carnières,31,59,2,15,1077,15,1092,2011
59133,Carnin,31,59,5,57,964,21,985,2011
59134,Cartignies,31,59,1,4,1251,24,1275,2011
59135,Cassel,31,59,4,16,2287,92,2379,2011
59136,Le Cateau-Cambrésis,31,59,2,17,7049,144,7193,2011
59137,Catillon-sur-Sambre,31,59,2,17,818,11,829,2011
59138,Cattenières,31,59,2,15,676,15,691,2011
59139,Caudry,31,59,2,18,14582,242,14824,2011
59140,Caullery,31,59,2,18,454,11,465,2011
59141,Cauroir,31,59,2,13,582,8,590,2011
59142,Cerfontaine,31,59,1,45,588,18,606,2011
59143,La Chapelle-d'Armentières,31,59,5,2,8389,86,8475,2011
59144,Château-l'Abbaye,31,59,6,55,873,8,881,2011
59145,Chemy,31,59,5,57,677,7,684,2011
59146,Chéreng,31,59,5,33,3001,47,3048,2011
59147,Choisies,31,59,1,59,66,4,70,2011
59148,Clairfayts,31,59,1,59,371,6,377,2011
59149,Clary,31,59,2,18,1140,24,1164,2011
59150,Cobrieux,31,59,5,20,526,14,540,2011
59151,Colleret,31,59,1,45,1677,33,1710,2011
59152,Comines,31,59,5,51,12637,78,12715,2011
59153,Condé-sur-l'Escaut,31,59,6,19,9593,83,9676,2011
59155,Coudekerque-Branche,31,59,4,72,22264,446,22710,2011
59154,Coudekerque-Village,31,59,4,72,1165,60,1225,2011
59156,Courchelettes,31,59,3,23,2711,44,2755,2011
59157,Cousolre,31,59,1,59,2374,47,2421,2011
59158,Coutiches,31,59,3,47,2795,71,2866,2011
59159,Craywick,31,59,4,27,648,10,658,2011
59160,Crespin,31,59,6,19,4513,18,4531,2011
59161,Crèvecoeur-sur-l'Escaut,31,59,2,43,673,39,712,2011
59162,Crochte,31,59,4,9,704,24,728,2011
59163,Croix,31,59,5,54,20483,286,20769,2011
59164,Croix-Caluyau,31,59,1,32,252,2,254,2011
59165,Cuincy,31,59,3,23,6602,105,6707,2011
59166,Curgies,31,59,6,65,1075,18,1093,2011
59167,Cuvillers,31,59,2,14,198,5,203,2011
59168,Cysoing,31,59,5,20,4672,69,4741,2011
59169,Damousies,31,59,1,45,235,4,239,2011
59170,Dechy,31,59,3,24,5133,39,5172,2011
59171,Dehéries,31,59,2,18,43,0,43,2011
59172,Denain,31,59,6,21,20370,181,20551,2011
59173,Deûlémont,31,59,5,51,1687,21,1708,2011
59174,Dimechaux,31,59,1,59,356,5,361,2011
59175,Dimont,31,59,1,59,325,6,331,2011
59176,Doignies,31,59,2,43,308,3,311,2011
59177,Dompierre-sur-Helpe,31,59,1,3,914,15,929,2011
59670,Don,31,59,5,57,1359,15,1374,2011
59178,Douai,31,59,3,89,41915,1290,43205,2011
59179,Douchy-les-Mines,31,59,6,21,10421,71,10492,2011
59180,Le Doulieu,31,59,4,46,1404,40,1444,2011
59181,Dourlers,31,59,1,3,559,14,573,2011
59182,Drincham,31,59,4,12,252,3,255,2011
59183,Dunkerque,31,59,4,90,91386,1500,92886,2011
59184,Ebblinghem,31,59,4,29,656,8,664,2011
59185,Écaillon,31,59,3,24,1975,32,2007,2011
59186,Eccles,31,59,1,59,97,4,101,2011
59187,Éclaibes,31,59,1,69,278,8,286,2011
59188,Écuélin,31,59,1,10,118,2,120,2011
59189,Eecke,31,59,4,60,1166,18,1184,2011
59190,Élesmes,31,59,1,44,926,18,944,2011
59191,Élincourt,31,59,2,18,634,9,643,2011
59192,Émerchicourt,31,59,6,11,872,63,935,2011
59193,Emmerin,31,59,5,28,3211,34,3245,2011
59194,Englefontaine,31,59,1,49,1297,20,1317,2011
59195,Englos,31,59,5,74,562,7,569,2011
59196,Ennetières-en-Weppes,31,59,5,74,1240,12,1252,2011
59197,Ennevelin,31,59,5,48,2142,43,2185,2011
59198,Eppe-Sauvage,31,59,1,64,270,3,273,2011
59199,Erchin,31,59,3,1,777,14,791,2011
59200,Eringhem,31,59,4,9,478,8,486,2011
59201,Erquinghem-le-Sec,31,59,5,74,538,4,542,2011
59202,Erquinghem-Lys,31,59,5,2,4634,41,4675,2011
59203,Erre,31,59,3,42,1462,13,1475,2011
59204,Escarmain,31,59,2,58,439,5,444,2011
59205,Escaudain,31,59,6,21,9164,57,9221,2011
59206,Escaudoeuvres,31,59,2,13,3387,27,3414,2011
59207,Escautpont,31,59,6,19,4227,32,4259,2011
59208,Escobecques,31,59,5,74,304,8,312,2011
59209,Esnes,31,59,2,18,658,10,668,2011
59210,Esquelbecq,31,59,4,68,2121,49,2170,2011
59211,Esquerchin,31,59,3,23,891,11,902,2011
59212,Estaires,31,59,4,46,5955,148,6103,2011
59213,Estourmel,31,59,2,15,449,11,460,2011
59214,Estrées,31,59,3,1,965,28,993,2011
59215,Estreux,31,59,6,65,978,23,1001,2011
59219,Estrun,31,59,2,13,683,8,691,2011
59216,Eswars,31,59,2,13,347,3,350,2011
59217,Eth,31,59,1,50,327,14,341,2011
59218,Étroeungt,31,59,1,4,1399,22,1421,2011
59220,Faches-Thumesnil,31,59,5,40,17590,156,17746,2011
59221,Famars,31,59,6,67,2473,66,2539,2011
59222,Faumont,31,59,3,47,2100,46,2146,2011
59223,Le Favril,31,59,1,32,482,6,488,2011
59224,Féchain,31,59,3,1,1848,25,1873,2011
59225,Feignies,31,59,1,8,7184,113,7297,2011
59226,Felleries,31,59,1,3,1619,26,1645,2011
59227,Fenain,31,59,3,42,5327,48,5375,2011
59228,Férin,31,59,3,24,1500,20,1520,2011
59229,Féron,31,59,1,64,564,8,572,2011
59230,Ferrière-la-Grande,31,59,1,45,5415,93,5508,2011
59231,Ferrière-la-Petite,31,59,1,45,1035,11,1046,2011
59232,La Flamengrie,31,59,1,8,409,10,419,2011
59233,Flaumont-Waudrechies,31,59,1,3,375,3,378,2011
59234,Flers-en-Escrebieux,31,59,3,77,5697,58,5755,2011
59236,Flesquières,31,59,2,43,272,4,276,2011
59237,Flêtre,31,59,4,6,949,18,967,2011
59238,Flines-lès-Mortagne,31,59,6,55,1647,14,1661,2011
59239,Flines-lez-Raches,31,59,3,22,5469,87,5556,2011
59240,Floursies,31,59,1,3,139,0,139,2011
59241,Floyon,31,59,1,4,505,6,511,2011
59242,Fontaine-au-Bois,31,59,1,32,671,4,675,2011
59243,Fontaine-au-Pire,31,59,2,15,1194,18,1212,2011
59244,Fontaine-Notre-Dame,31,59,2,14,1744,21,1765,2011
59246,Forest-en-Cambrésis,31,59,1,32,543,4,547,2011
59247,Forest-sur-Marque,31,59,5,33,1452,17,1469,2011
59249,Fourmies,31,59,1,64,12608,243,12851,2011
59250,Fournes-en-Weppes,31,59,5,7,2105,99,2204,2011
59251,Frasnoy,31,59,1,50,349,6,355,2011
