code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59159,159,Craywick,749,756,2016
59160,160,Crespin,4515,4547,2016
59161,161,Crèvecœur-sur-l'Escaut,729,760,2016
59162,162,Crochte,656,677,2016
59163,163,Croix,20778,21016,2016
59164,164,Croix-Caluyau,239,247,2016
59165,165,Cuincy,6472,6546,2016
59166,166,Curgies,1347,1382,2016
59167,167,Cuvillers,197,200,2016
59168,168,Cysoing,4722,4787,2016
59169,169,Damousies,206,211,2016
59170,170,Dechy,5351,5384,2016
59171,171,Dehéries,40,41,2016
59172,172,Denain,20640,20758,2016
59173,173,Deûlémont,1819,1844,2016
59174,174,Dimechaux,326,340,2016
59175,175,Dimont,303,314,2016
59176,176,Doignies,320,323,2016
59177,177,Dompierre-sur-Helpe,859,873,2016
59670,670,Don,1412,1425,2016
59178,178,Douai,39648,40474,2016
59179,179,Douchy-les-Mines,10207,10252,2016
59180,180,Le Doulieu,1454,1477,2016
59181,181,Dourlers,539,545,2016
59182,182,Drincham,278,282,2016
59183,183,Dunkerque,86788,88024,2016
59184,184,Ebblinghem,658,668,2016
59185,185,Écaillon,1910,1924,2016
59186,186,Eccles,88,90,2016
59187,187,Éclaibes,265,270,2016
59188,188,Écuélin,141,145,2016
59189,189,Eecke,1221,1248,2016
59190,190,Élesmes,992,1006,2016
59191,191,Élincourt,631,635,2016
59192,192,Émerchicourt,822,868,2016
59193,193,Emmerin,3053,3077,2016
59194,194,Englefontaine,1281,1302,2016
59195,195,Englos,614,623,2016
59196,196,Ennetières-en-Weppes,1293,1315,2016
59197,197,Ennevelin,2356,2385,2016
59198,198,Eppe-Sauvage,234,234,2016
59199,199,Erchin,681,692,2016
59200,200,Eringhem,481,490,2016
59201,201,Erquinghem-le-Sec,602,614,2016
59202,202,Erquinghem-Lys,5356,5402,2016
59203,203,Erre,1574,1582,2016
59204,204,Escarmain,480,488,2016
59205,205,Escaudain,9253,9299,2016
59206,206,Escaudœuvres,3204,3233,2016
59207,207,Escautpont,4152,4181,2016
59208,208,Escobecques,303,312,2016
59209,209,Esnes,674,681,2016
59210,210,Esquelbecq,2134,2186,2016
59211,211,Esquerchin,901,921,2016
59212,212,Estaires,6496,6619,2016
59213,213,Estourmel,455,471,2016
59214,214,Estrées,1116,1140,2016
59215,215,Estreux,952,985,2016
59219,219,Estrun,719,727,2016
59216,216,Eswars,356,362,2016
59217,217,Eth,341,345,2016
59218,218,Étrœungt,1273,1288,2016
59220,220,Faches-Thumesnil,18110,18227,2016
59221,221,Famars,2475,2543,2016
59222,222,Faumont,2251,2297,2016
59223,223,Le Favril,503,506,2016
59224,224,Féchain,1658,1671,2016
59225,225,Feignies,6752,6820,2016
59226,226,Felleries,1455,1469,2016
59227,227,Fenain,5529,5577,2016
59228,228,Férin,1447,1469,2016
59229,229,Féron,527,546,2016
59230,230,Ferrière-la-Grande,5202,5254,2016
59231,231,Ferrière-la-Petite,1062,1066,2016
59232,232,La Flamengrie,435,443,2016
59233,233,Flaumont-Waudrechies,351,354,2016
59234,234,Flers-en-Escrebieux,5642,5681,2016
59236,236,Flesquières,263,267,2016
59237,237,Flêtre,969,984,2016
59238,238,Flines-lès-Mortagne,1649,1666,2016
59239,239,Flines-lez-Raches,5610,5701,2016
59240,240,Floursies,127,130,2016
59241,241,Floyon,512,526,2016
59242,242,Fontaine-au-Bois,695,702,2016
59243,243,Fontaine-au-Pire,1213,1225,2016
59244,244,Fontaine-Notre-Dame,1763,1794,2016
59246,246,Forest-en-Cambrésis,566,573,2016
59247,247,Forest-sur-Marque,1659,1682,2016
