code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59159,159,Craywick,749,756,2021
59160,160,Crespin,4515,4547,2021
59161,161,Crèvecœur-sur-l'Escaut,729,760,2021
59162,162,Crochte,656,677,2021
59163,163,Croix,20778,21016,2021
59164,164,Croix-Caluyau,239,247,2021
59165,165,Cuincy,6472,6546,2021
59166,166,Curgies,1347,1382,2021
59167,167,Cuvillers,197,200,2021
59168,168,Cysoing,4722,4787,2021
59169,169,Damousies,206,211,2021
59170,170,Dechy,5351,5384,2021
59171,171,Dehéries,40,41,2021
59172,172,Denain,20640,20758,2021
59173,173,Deûlémont,1819,1844,2021
59174,174,Dimechaux,326,340,2021
59175,175,Dimont,303,314,2021
59176,176,Doignies,320,323,2021
59177,177,Dompierre-sur-Helpe,859,873,2021
59670,670,Don,1412,1425,2021
59178,178,Douai,39648,40474,2021
59179,179,Douchy-les-Mines,10207,10252,2021
59180,180,Le Doulieu,1454,1477,2021
59181,181,Dourlers,539,545,2021
59182,182,Drincham,278,282,2021
59183,183,Dunkerque,86788,88024,2021
59184,184,Ebblinghem,658,668,2021
59185,185,Écaillon,1910,1924,2021
59186,186,Eccles,88,90,2021
59187,187,Éclaibes,265,270,2021
59188,188,Écuélin,141,145,2021
59189,189,Eecke,1221,1248,2021
59190,190,Élesmes,992,1006,2021
59191,191,Élincourt,631,635,2021
59192,192,Émerchicourt,822,868,2021
59193,193,Emmerin,3053,3077,2021
59194,194,Englefontaine,1281,1302,2021
59195,195,Englos,614,623,2021
59196,196,Ennetières-en-Weppes,1293,1315,2021
59197,197,Ennevelin,2356,2385,2021
59198,198,Eppe-Sauvage,234,234,2021
59199,199,Erchin,681,692,2021
59200,200,Eringhem,481,490,2021
59201,201,Erquinghem-le-Sec,602,614,2021
59202,202,Erquinghem-Lys,5356,5402,2021
59203,203,Erre,1574,1582,2021
59204,204,Escarmain,480,488,2021
59205,205,Escaudain,9253,9299,2021
59206,206,Escaudœuvres,3204,3233,2021
59207,207,Escautpont,4152,4181,2021
59208,208,Escobecques,303,312,2021
59209,209,Esnes,674,681,2021
59210,210,Esquelbecq,2134,2186,2021
